taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Stylidium ensatum, associated with areas of lowlying poorly drained sandy soil sandy wetlands with a water regime that results in freewater or saturated soil moisture conditions atnear the land surface for an extended part of the year ,,,,,,,wet,water,depressions,lowlying,,,,,,,sand,sandy,,
Veronica parnkalliana, fire scar disturbed ,,,,,,,,,,,disturbed,disturbed,,,,,,,,
Melichrus gibberagee, Lowaltitude dry eucalyptforest on gentle slopes     Found mainly in grassy forests under tall spotted gum and ironbarks ,,,,,,,dry,dry,slopes,slopes,forest_eucalyptus forest,eucalyptforest forests,,,,,,,,
Hibbertia cistiflora subsp. quadristaminea, known to grow on dry sandy or gravelly slopes seepage areas and low heath openwoodlands ,,,,,,,dry wet,dry seepage,seepages slopes,seepage slopes,woodland_open heath,openwoodlands heath openwoodlands,,,,,gravel sand,gravelly sandy,,
Symonanthus bancroftii, t grows in an area of disturbed shallow granitic soil which is prone to hard setting Rob Buehrig 1997 suggests that Symonanthus bancroftii may prefer a residualcolluvial soil derived from granitic rocks Beyond this the clues as to its typical habitat are conflicting The plant may naturally grow immediately adjacent to granite outcrops or may grow close to drainagelines lower down in the landscape The remnant vegetation at the known site is woodland ,,,,,,,,,drainages rocky_outcrop,drainagelines outcrops,disturbed rocky_outcrop woodland,disturbed outcrops woodland,,,granitic,granite granitic,,,,
Epacris glabella, restricted to shrubby heathland scrubland and woodland on ultramafic serpentinite substrates ,,,,,,,,,,,heath scrubland woodland,heathland scrubland woodland,,,,,,,,
Epacris apsleyensis, drysclerophyllforest on Jurassic dolerite ,,,,,,,dry,drys,,,forest_dry_sclerophyll,drysclerophyllforest,,,dolerite,dolerite,,,,
Epacris grandis, growing on Jurassic dolerite in drysclerophyllforest on sheltered slopes a ,,,,,,,dry,drys,slopes,slopes,forest_dry_sclerophyll,drysclerophyllforest,,,dolerite,dolerite,,,,
Epacris virgata, on serpentinite in drysclerophyllforest ,,,,,,,dry,drys,,,forest_dry_sclerophyll,drysclerophyllforest,,,,,,,,
Daviesia microcarpa, grows in sandy soil in woodland ,,,,,,,,,,,woodland,woodland,,,,,sand,sandy,,
Pomaderris pilifera subsp. talpicutica, occurs on Permian mudstone on very welldrained skeletal soils with much broken and weathered shell debris scattered about The taxon occurs in open shrubby woodland ,,,,,scattered,scattered,moist,muds,,,mud woodland,muds woodland,,,mudstone,mudstone,skeletal,skeletal,draining,welldrained welldrained
Spyridium obcordatum, ccurs amongst serpentine outcrops in dry openforest or woodlanddominatedbyEucalyptus amygdalina and in coastal areas from Greens Beach to Hawley Beach at Port Sorell where it occurs in Allocasuarina verticillata coastal woodland and low open heathland dominated by Allocasuarina monilifera and Leptospermum scoparium on sandstone and dolerite The species is often associated with outcropping rocks exposed rock plates and rockyground ,,,,,,,dry,dry,coastal rocky_outcrop,coastal outcrops,woodland_eucalypt forest_open rocky heath rocky_outcrop woodland,woodlanddominatedbyEucalyptus openforest rockyground heathland outcrops woodland,,,dolerite sandstone,dolerite sandstone,sand,sands,,
Pultenaea trichophylla, grows in openwoodland or mallee ,,,,,,,,,,,woodland_open mallee,openwoodland mallee openwoodland,,,,,,,,
Prasophyllum crebriflorum, occurs in montane tussockgrassland  highland native grassland and grassywoodland with a sparse overstorey ,,,,,,,,,,,grassland_tussock woodland_grassy grassland montane,tussockgrassland grassywoodland grassland tussockgrassland montane,,,,,,,,
Thelymitra jonesii, occurs in moist coastalheath on sandy to peaty soils and in Eucalyptus obliqua forest in deep loam soil over dolerite ,,,,,,,moist,moist,,,heath_coastal forest,coastalheath forest,,,dolerite,dolerite,loam peat sand,loam peaty sandy,,
Epacris barbata, occurs exclusively on granitebased siliceous soils growing in open heath and heathy woodlandforest in hilly and lowlying terrain from 30 to 500 m above sea level ,,,,,,,,,depressions hills,lowlying hilly,heath,heath,,,siliceous,siliceous,,,,
Corunastylis sp. Charmhaven (NSW 896673), low woodland to heathland with a shrubby understorey and ground layer ,,,,,,,,,,,heath woodland,heathland woodland,,,,,,,,
Dichanthium queenslandicum, black cracking clay in tussockgrasslands ,,,,,,,,,,,grassland_tussock,tussockgrasslands tussockgrasslands,black,black,,,clay,clay,,
Dendrobium bigibbum, Dendrobium bigibbum grows on the branches of small trees in scrubby habitats such as semideciduous vineforest and vinethickets where fire cannotpenetrate It is particularly common in vine scrubs behind beaches and on rocky hillsides ,,,,,common,common,,,hills,hills hillsides,vine_thicket scrubland slope beach rocky,vinethickets scrubs hillsides vineforest beaches rocky,,,,,soil_rocky,rocky,,
Androcalva perkinsiana, tussockgrassland ,,,,,,,,,,,grassland_tussock,tussockgrassland tussockgrassland,,,,,,,,
Hibbertia crispula, growing on redsand ,,,,,,,,,,,,,red,reds,,,sand_red,redsand,,
Patersonia spirifolia, Sand over laterite Low hills ,,,,,,,,,hills,hills,hills,hills,,,lateritic,laterite,,,,
Prasophyllum olidum, known only from the native grassland where it occurs in relatively damp conditions on sandy loam ,,,,,,,moist,damp,,,grassland,grassland,,,,,loam sand,loam sandy,,
Pomaderris cocoparrana, rockysites ,,,,,,,,,rocky,rockysites,rocky,rockys,,,,,soil_rocky,rockysites rockys,,
Xanthorrhoea arenaria, occurs in coastal sandy heath ,,,,,,,,,coastal,coastal,heath,heath,,,,,sand,sandy,,
Grevillea hodgei, in welldrained sandy or rockysoils in openforests and woodlands ,,,,,,,,,,,forest_open rocky woodland,openforests rockys woodlands,,,,,soil_rocky sand,rockysoils sandy rockys,draining,welldrained welldrained
Hibbertia carinata, scrub or openscrub on welldrained gravelly sand or yellow sand with some gravel ,,,,,,,,,,,scrubland_open scrubland,openscrub scrub,yellow,yellow,,,gravel sand,gravel gravelly sand,draining,welldrained welldrained
