taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Cylindropuntia imbricata,"Distribution and occurrence: This species is common around mining settlements in western areas of N.S.W. Native of U.S.A. and Mexico.NSW subdivisions: *SC, *NWS, *CWS, *SWP, *NFWP Other Australian states: *Qld", this species is common around mining settlements in western areas of nsw native of usa and mexico  ,,,,,common,common,,,,,,,,,,,,,,
Cylindropuntia kleiniae,"Distribution and occurrence: Introduced to North Western Plains; native of southern America and Mexico. Occurs in disturbed shrublands or Eucalyptus woodland, often in ironstone- and quartz-rich: grey clay to red sandy soils.NSW subdivisions: *NWP", introduced to north western plainss native of southern america and mexico occurs in disturbed shrublands or eucalyptus woodland often in ironstone and quartzrich grey clay to redsandy soils  ,,,,,,,,,plains,plainss,disturbed plains shrubland woodland,disturbed plains shrublands woodland,grey red,grey reds,iron,irons,clay,clay,,
Cylindropuntia leptocaulis,"Distribution and occurrence: Introduced to NW Plains and NW Slopes; native to southern America and Mexico. Grows in Eucalyptus woodland with scattered shrubs in grey loamy sands.NSW subdivisions: *NWS, *NWP", introduced to nw plainss and nw slopes native to southern america and mexico grows in eucalyptus woodland with scattered shrubs in grey loamysands  ,,,,,scattered,scattered,,,plains slopes,plainss slopes,plains shrubland woodland,plains shrubs woodland,grey,grey,,,sand_loamy loam,loamysands loamys,,
Cylindropuntia pallida,"Distribution and occurrence: Most common around the opal fields of Glen Garry, Grawin and Lightning Ridge in North Western Plains (N.S.W.); also naturalised in South Africa; native of Mexico.NSW subdivisions: *NWP, *NWS Other Australian states: *Qld *S.A. *W.A. Plant spreads vegetatively by segments which root where they contact the ground. Cylindropuntia pallida is possibly a hybrid between Cylindropuntia tunicata and another species. Previously known as Cylindropuntia rosea (DC.) Backeb., but Laguna et al. in Bouteloua 16: 40-51 (2013)  have shown this name to be misapplied to C. pallida (Rose) F.M.Knuth.", most common around the opal fields of glen garry grawin and lightning ridge in north western plainss nsw also naturalised in south africa native of mexico  ,,,,,common,common,,,plains ridges,plainss ridge,plains,plains,,,,,,,,
Cylindropuntia prolifera,"Distribution and occurrence: Occasionally naturalised around Lightning Ridge and in the Broken Hill area; native to southern California and Baja California, Mexico.NSW subdivisions: *NWP, *NFWP Other Australian states: *Qld", occasionally naturalised around lightning ridge and in the broken hill area native to southern california and baja california mexico  ,,,,,,,,,hills ridges,hill ridge,,,,,,,,,,
Cylindropuntia spinosior,"Distribution and occurrence: Far North Western Plains and North Western Plains; native to southern U.S.A. and Mexico. Shrubby Eucalyptus woodland or Maireana pyramidata shrubland on red sandy soil.NSW subdivisions: *NWP, *NFWP Other Australian states: *Qld", far north western plainss and north western plainss native to southern usa and mexico shrubby eucalyptus woodland or maireana pyramidata shrubland on redsandy soil  ,,,,,,,,,plains,plainss,plains shrubland woodland,plains shrubland woodland,red,reds,,,,,,
Cylindropuntia tunicata,Distribution and occurrence: North Western Plains around the Grawin opal fields; also naturalised in northern Victoria; Native of southern U.S.A. and MexicoNSW subdivisions: *NWP Other Australian states: *Vic. *S.A., north western plainss around the grawin opal fields also naturalised in northern victoria native of southern usa and mexico  ,,,,,,,,,plains,plainss,plains,plains,,,,,,,,
Harrisia martinii,"Distribution and occurrence: Naturalized in Qld and becoming a problem around Bogabilla, not common elsewhere in N.S.W. Native of Argentina.NSW subdivisions: *NWP Other Australian states: *Qld", naturalized in qld and becoming a problem around bogabilla notcommon elsewhere in nsw native of argentina  ,XX,notcommon,,,,,,,,,,,,,,,,,,
Harrisia tortuosa,"Distribution and occurrence: Not common, naturalized in upper Hunter Valley and at Grawin. Native of Argentina.NSW subdivisions: *CWS, *NWP Other Australian states: *Qld", notcommon naturalized in upper hunter valley and at grawin native of argentina  ,XX,notcommon,,,,,,,valley,valley,,,,,,,,,,
Hylocereus undatus,"Distribution and occurrence: Widely cultivated in the tropics; a garden escape in N.S.W., not widespread.NSW subdivisions: *NC", widely cultivated in the tropics a garden escape in nsw notwidespread  ,XX,notwidespread,,,,,,,,,cultivated urban,cultivated garden,,,,,,,,
Opuntia aurantiaca,"Distribution and occurrence: In pest proportions in localized areas of N.S.W. Native of Uruguay.NSW subdivisions: *NC, *CC, *SC, *NT, *CT, *NWS, *CWS, *SWS, *NWP, *SWP Other Australian states: *Qld *Vic.", in pest proportions in localized areas of nsw native of uruguay  ,,,,,,,,,,,,,,,,,,,,
Opuntia elata,"Distribution and occurrence: Naturalized mainly along the Murray River and also occasionally in the Broken Hill and Lightning Ridge districts. Native of Paraguay.NSW subdivisions: *CWS, *NWP, *NFWP, *SFWP, *CC Other Australian states: *Qld *Vic. *S.A.", naturalized mainly along the murray river and also occasionally in the broken hill and lightning ridge districts native of paraguay  ,,,,,,,,,hills ridges,hill ridge,streams,river,,,,,,,,
Opuntia elatior,"Distribution and occurrence: Naturalized in isolated areas but not widespread. Native of S Amer.NSW subdivisions: *NC, *CC, *SC, *CWS, *NFWP Other Australian states: *Qld *S.A.", naturalized in isolated areas but notwidespread native of s amer  ,XX,notwidespread,,,,,,,,,,,,,,,,,,
Opuntia ficus-indica,"Distribution and occurrence: Cultivated for its edible fruit; sporadic escape from cultivation. Probably native of southern N Amer.; widely naturalized in trop. regions of the world.NSW subdivisions: *CC, *CWS, *SWP, *NFWP Other Australian states: *Vic. *S.A.", cultivated for its edible fruit sporadic escape from cultivation probably native of southern n amer widely naturalized in trop regions of the world  ,,,,,,,,,,,cultivated,cultivated,,,,,,,,
Opuntia humifusa,"Distribution and occurrence: Not widespread, naturalized in Singleton - Muswellbrook area. Native of N Amer.NSW subdivisions: *NC, *CWS", notwidespread naturalized in singleton  muswellbrook area native of n amer  ,XX,notwidespread,,,,,,,,,,,,,,,,,,
Opuntia microdasys,"Distribution and occurrence: Garden escape, not widely naturalized, recorded near Cuttabri and Narrabri. Native of southern U.S.A. & Mexico.NSW subdivisions: *CC, *CWS, *NWP Other Australian states: *S.A.", garden escape notwidely naturalized recorded near cuttabri and narrabri native of southern usa  mexico  ,,,,,,,,,,,urban,garden,,,,,,,,
Opuntia monacantha,"Distribution and occurrence: Chiefly along coastal streams, previously more widespread. Native of S Amer.NSW subdivisions: *NC, *CC, *SC, *NWP Other Australian states: *Qld *Vic. *S.A. At one time this was the most widely naturalized prickly pear in Australia, in N.S.W. it has been eradicated from inland districts.", chiefly along coastal streams previously more widespread native of s amer  ,,,,,widespread,widespread,,,coastal,coastal,streams,streams,,,,,,,,
Opuntia robusta,"Distribution and occurrence: Naturalized but not common in N.S.W., confined to areas near the Vic. border and Broken Hill. Native of Mexico.NSW subdivisions: *NFWP, *SFWP Other Australian states: *Qld *Vic. *S.A.", naturalized but notcommon in nsw confined to areas near the vic border and broken hill native of mexico  ,XX,notcommon,,,,,,,hills,hill,,,,,,,,,,
Opuntia schickendantzii,Distribution and occurrence: Recently recorded at Griffith.NSW subdivisions: *SWP Other Australian states: *Vic., recently recorded at griffith  ,,,,,,,,,,,,,,,,,,,,
Opuntia sp. sensu I.Telford (1984),"Distribution and occurrence: Widespread but sporadic. Country of origin unknown.NSW subdivisions: *CC, *CWS, *NWP, *SWP, *NFWP Other Australian states: *Vic. *S.A.", widespread but sporadic country of origin unknown  ,,,,,widespread,widespread,,,,,,,,,,,,,,
Opuntia streptacantha,Distribution and occurrence: Naturalized in weed proportions in isolated areas of N.S.W. and central Qld. Native of Mexico.NSW subdivisions: *CWS Other Australian states: *Qld, naturalized in weed proportions in isolated areas of nsw and central qld native of mexico  ,,,,,,,,,,,,,,,,,,,,
Opuntia stricta,"Distribution and occurrence: This species covered large areas in pest proportions. In N.S.W. the denser infestations were in NWS, CWS, NWP, also in Hunter Valley and smaller areas SW of Sydney. It is still widespread but it has been controlled to a great extent by the Cactoblastis insects. Native of trop. & subtrop. Amer. All divisons; all mainland States.NSW subdivisions: *NC, *CC, *SC, *NT, *CT, *ST, *NWS, *CWS, *SWS, *NWP, *SWP, *NFWP, *SFWP, *LHI Other Australian states: *Qld *Vic. *S.A. *W.A. *N.T.", this species covered large areas in pest proportions in nsw the denser infestations were in nws cws nwp also in hunter valley and smaller areas sw of sydney it is still widespread but it has been controlled to a great extent by the cactoblastis insects native of trop  subtrop amer all divisons all mainland states  ,,,,,widespread,widespread,,,valley,valley,,,,,,,,,,
Opuntia stricta var. dillenii,"Distribution and occurrence: Not common. This variety is reported for N.S.W, with intermediates between it and var. stricta.NSW subdivisions: *SC, *NFWP Other Australian states: *Qld", notcommon this variety is reported for nsw with intermediates between it and var stricta  ,XX,notcommon,,,,,,,,,,,,,,,,,,
Opuntia stricta var. stricta,"Distribution and occurrence: All divisions; all mainland States.NSW subdivisions: *NC, *CC, *SC, *CWS, *LHI Other Australian states: *Qld *Vic. *W.A.", all divisions all mainland states  ,,,,,,,,,,,,,,,,,,,,
Opuntia tomentosa,"Distribution and occurrence: This species was abundant in large areas of Qld, where it formed scrub-like thickets. Localized in some areas of N.S.W., but not widespread. Native of central Mexico.NSW subdivisions: *CC, *NWS, *NWP Other Australian states: *Qld *S.A.", this species was abundant in large areas of qld where it formed scrublike thickets localized in some areas of nsw but notwidespread native of central mexico  ,XX,notwidespread,,,abundant,abundant,,,,,thickets,thickets,,,,,,,,
Pereskia aculeata,"Distribution and occurrence: Native of trop. Amer. Naturalized along river banks, lower Clarence R.NSW subdivisions: *NC, *CC Other Australian states: *Qld", native of trop amer naturalized along riverbanks lower clarence r  ,,,,,,,,,,,streambanks,riverbanks riverbanks,,,,,,,,
Calceolaria tripartita,"Distribution and occurrence: Often cultivated, occasionally naturalized in Lismore and Nowra districts. Native of Amer., from S Mexico to Bolivia.NSW subdivisions: *NC, *CC Other Australian states: *Qld", often cultivated occasionally naturalized in lismore and nowra districts native of amer from s mexico to bolivia  ,,,,,,,,,,,cultivated,cultivated,,,,,,,,
Campanula rapunculoides,Distribution and occurrence: Naturalised in Kosciuszko National Park in disturbed snow gum woodland.NSW subdivisions: *ST Other Australian states: *Tas. *, naturalised in kosciuszko national park in disturbed snow gum woodland  ,,,,,,,,,,,disturbed woodland,disturbed woodland,,,,,,,,
Isotoma anethifolia,"Distribution and occurrence: Grows in damp crevices or pockets of humus in rocky areas often on granite; north from Ebor district.NSW subdivisions: NT, NWS Other Australian states: Qld", grows in damp crevices or pockets of humus in rocky areas often on granite north from ebor district  ,,,,,,,damp,damp,,,crevices,crevices,,,granitic,granite,humus soil_rocky,humus rocky,,
Isotoma axillaris,"Distribution and occurrence: Grows in crevices on rocky cliffs, especially granite and sandstone outcrops, in shallow sandy soils of slopes and around rock waterholes.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, NFWP, SFWP Other Australian states: Qld Vic. Becoming increasingly popular in cultivation for its striking flowers. Known to be a severe irritant to skin, eyes and possible respiratory tract, caution around handling foliage or sap of this species is recommended.", grows in crevices on rocky cliffs especially granite and sandstone outcrops in shallow sandy soils of slopes and around rock waterholes  ,,,,,,,,,cliff rocky_outcrop slopes,cliffs outcrops slopes,crevices waterholes cliffs,crevices waterholes cliffs cliffs,,,granitic sandstone,granite sandstone,soil_rocky sand,rocky sands sandy,,
Isotoma fluviatilis,"Distribution and occurrence: Grows in moist sand or mud on edge of streams or seepage areas, in granite areas.NSW subdivisions: NC, CC, NT, CT, ST, NWS, CWS, SWS, LHI Other Australian states: Qld Vic. Tas. S.A. This species is variable, depending on seasonal conditions. It is difficult to satisfactorily separate subspecies australis from subsp. borealis.  Further investigations, including cytological examination, may be necessary to distinguish them.", grows in moist sand or mud on edge of streams or seepage areas in granite areas  ,,,,,,,moist damp wet,moist mud seepage,flats seepages,seepage seepage,mud streams,mud streams,,,granitic,granite,sand,sand,,
Isotoma fluviatilis subsp. australis,"Distribution and occurrence: Grows on the Slopes and ranges to c. 1300 m alt.; south from Bathurst district.NSW subdivisions: CT, ST, CWS, SWS Other Australian states: Vic. Tas. S.A.", grows on the slopes and ranges to c 1300 m alt south from bathurst district  ,,,,,,,,,slopes,slopes,,,,,,,,,,
Isotoma fluviatilis subsp. borealis,"Distribution and occurrence: Grows in wet places, including Sphagnum bogs at higher altitudes; north from Bathurst.NSW subdivisions: NC, CC, NT, CT, NWS, CWS, NWP Other Australian states: Qld", grows in wet places including sphagnum bogs at higher altitudes north from bathurst  ,,,,,,,wet,wet,,,bog,bogs,,,,,,,,
Isotoma fluviatilis subsp. fluviatilis,"Distribution and occurrence: Grows in wet places around dams and creeks on coastal plains north and west of Sydney, south from Gloucester, sometimes becoming weedy in lawns.NSW subdivisions: NC, CC, CT, LHI", grows in wet places around dams and creeks on coastalplainss north and west of sydney south from gloucester sometimes becoming weedy in lawnss  ,,,,,,,wet,wet,,,plains_coastal streams urban,coastalplainss creeks lawnss,,,,,,,,
Isotoma petraea,"Distribution and occurrence: Grows on rocky hillsides and outcrops on skeletal granitic soils; west from Wilcannia district.NSW subdivisions: NFWP, SFWP Other Australian states: W.A. S.A. N.T.", grows on rocky hillsides and outcrops on skeletal granitic soils west from wilcannia district  ,,,,,,,,,hills rocky_outcrop,hills hillsides outcrops,,,,,granitic,granitic,soil_rocky skeletal,rocky skeletal,,
Isotoma tridens,"Distribution and occurrence:  Grows on the edges of lakes, pools and slow-moving streams.NSW subdivisions: ST, SWS, SWP Other Australian states: Vic.", grows on the edges of lakes pools and slowmoving streams  ,,,,,,,,,,,lakes streams,lakes streams,,,,,,,,
Lobelia anceps,"Distribution and occurrence:  Grows in brackish marshes and swampy heath, and along streams; widespread and often locally frequent.NSW subdivisions: NC, CC, SC, CT, LHI Other Australian states: Qld Tas. S.A. Vic. Formerly known as Lobelia alata.", grows in brackish marshes and swampy heath and alongstreams widespread and often locally frequent  ,,,,,widespread,widespread,wet,swampy,streambanks,alongstreams,streambanks heath bog swamp,alongstreams heath marshes swampy,,,brackish,brackish,,,,
Lobelia andrewsii,"Distribution and occurrence: Grows in rock crevices in forest and heath usually on sandy soils; north from Royal N.P., and inland to Howell and west of Tenterfield.NSW subdivisions: NC, CC, NT, NWS Other Australian states: Qld", grows in rock crevices in forest and heath usually on sandy soils north from royal np and inland to howell and west of tenterfield  ,,,,,,,,,,,crevices heath forest,crevices heath forest,,,,,sand,sandy,,
Lobelia browniana,"Distribution and occurrence: All coastal and into the ranges in NSW. Occurs in dry sclerophyll forest and Callitris woodland.NSW subdivisions: NC, SC, NT, NWS, CWS, SWS, NWP Other Australian states: Qld Vic. S.A. Tas.", all coastal and into the ranges in nsw occurs in drysclerophyllforest and callitris woodland  ,,,,,,,dry,drys,coastal,coastal,forest_dry_sclerophyll woodland,drysclerophyllforest woodland,,,,,,,,
Lobelia claviflora,"Distribution and occurrence: Known from a very restricted area in the vicinity of Cuttabri, New South Wales. Occurs in sedge-dominated wetlands occupying shallow basins on the Namoi River floodplain.NSW subdivisions: NWPThreatened species: NSW BCA: Critically Endangered A final determination to list this species as Critically Endangered under the NSW Biodiversity Conservation Act 2016 (NSW BCA 2016) was made on 24 September 2021.The characteristics that distinguish Lobelia claviflora from species of Isotoma (and those Lobelia that have an entire or very weakly cleft corolla tube) are the erect habit, very narrow mostly entire glabrous leaves, distinctive arrangement of colour zones on the corolla including large white zones on the lower three lobes (white zone occupying approximately the proximal half of the central lobe) and deep purple bands in the throat that are covered with short dense club-shaped hairs, and seeds with a network of almost straight to heterogeneously undulating close, fine surface ridges. It is most likely to be confused with I. gulliveri F.Muell., I. luticola Carolin or L. douglasiana F.M.Bailey (syn. I. armstrongii E.Wimm.).", known from a very restricted area in the vicinity of cuttabri new south wales occurs in sedgedominated wetlands occupying shallow basins on the namoi river floodplains  ,,,,,,,,,,,floodplain streams,floodplains river,,,,,,,,
Lobelia concolor,"Distribution and occurrence: Usually grows on heavy soils in moist depressions; widespread.NSW subdivisions: NC, CC, NWS, CWS, SWS, NWP, SWP Other Australian states: Qld Vic. W.A. S.A. N.T. Suspected of poisoning stock but rarely browsed.", usually grows on heavysoils in moist depressions widespread  ,,,,,widespread,widespread,moist,moist,depressions,depressions,,,,,,,soil_heavy,heavysoils,,
Lobelia darlingensis,"Distribution and occurrence: Widespread in inland divisions, especially in the Bourke–Wanaaring area. Grows in damp places, swamps, claypans and tabledrains, often forming large mats.NSW subdivisions: SWS, NWP, SWP, NFWP Other Australian states: Qld Vic.", widespread in inland divisions especially in the bourkeï¿½wanaaring area grows in damp places swamps claypans and tabledrains often forming large mats  ,,,,,widespread,widespread,wet damp,swamps damp,,,claypan swamp,claypans swamps,,,,,claypan,claypans claypans,,
Lobelia dentata,"Distribution and occurrence: On the coast and ranges from Murwillumbah to Batemans Bay district. Also Vic. Grows in woodland and dry sclerophyll forest on sandy soils, often conspicuous after fire.NSW subdivisions: NC, CC, SC, CT Other Australian states: Vic. Closely allied to L. gibbosa and sometimes considered to be a subspecies of that species.", on the coast and ranges from murwillumbah to batemans bay district also vic grows in woodland and drysclerophyllforest on sandy soils often conspicuous after fire  ,,,,,,,dry,drys,,,forest_dry_sclerophyll woodland,drysclerophyllforest woodland,,,,,sand,sandy,,
Lobelia gibbosa,"Distribution and occurrence:  Grows chiefly in woodland and dry sclerophyll forest on sandy soils; widespread, from sea level to subalpine areas.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SFWP Other Australian states: Qld Vic. Tas. W.A. S.A. N.T.", grows chiefly in woodland and drysclerophyllforest on sandy soils widespread from sea level to subalpine areas  ,,,,,widespread,widespread,dry,drys,,,forest_dry_sclerophyll subalpine woodland,drysclerophyllforest subalpine woodland,,,,,sand,sandy,,
Lobelia membranacea,"Distribution and occurrence: North from Maclean. Also Qld. Grows on the edges of lakes, pools and slow-moving streams.NSW subdivisions: NC Other Australian states: Qld", north from maclean also qld grows on the edges of lakes pools and slowmoving streams  ,,,,,,,,,,,lakes streams,lakes streams,,,,,,,,
Lobelia pedunculata,"Distribution and occurrence: Grows in swampy places on damp ground, margins of rivers and lakes and in wet sclerophyll forest, chiefly on the ranges.NSW subdivisions: NC, CC, SC, NT, CT, ST Other Australian states: Vic. Tas. S.A.", grows in swampy places on damp ground margins of rivers and lakes and in wetsclerophyllforest chiefly on the ranges  ,,,,,,,wet damp,swampy damp wets,,,forest_wet_sclerophyll lakes streams swamp,wetsclerophyllforest lakes rivers swampy,,,,,,,,
Lobelia pratioides,"Distribution and occurrence: Recorded once for the SWP; south from Deniliquin. Also  Vic, Tas. and S.A. Swampy depressions.NSW subdivisions: NWP, SWP Other Australian states: Vic. S.A. Tas.", recorded once for the swp south from deniliquin also  vic tas and sa swampy depressions  ,,,,,,,wet,swampy,depressions,depressions,swamp,swampy,,,,,,,,
Lobelia purpurascens,"Distribution and occurrence: Grows in shady wet areas in wet sclerophyll forest, woodland and grassland; widespread. A common garden weed, known to contain the alkaloid lobeline.NSW subdivisions: NC, CC, SC, NT, CT, NWS, CWS, SWS, *LHI Other Australian states: Qld Vic.", grows in shady wet areas in wetsclerophyllforest woodland and grassland widespread a common garden weed known to contain the alkaloid lobeline  ,,,,,common widespread,common widespread,wet,wet,,,forest_wet_sclerophyll urban grassland woodland,wetsclerophyllforest garden grassland woodland,,,,,,,,
Lobelia simplicicaulis,"Distribution and occurrence: South-eastern N.S.W. (one early record from Parramatta). Also  Vic, Tas. and S.A. Understorey of open forest.NSW subdivisions: CC, SC, CT, ST, SWS Other Australian states: Vic. Tas. S.A. Text modified from D.E. Albrecht, Flora of Victoria 4: 573-574 (1999).", southeastern nsw one early record from parramatta also  vic tas and sa understorey of openforest  ,,,,,,,,,,,forest_open,openforest,,,,,,,,
Lobelia stenophylla,Distribution and occurrence: North from the Casino area. Also  Qld and N.T. Wet soils in swampy areas.NSW subdivisions: NC, north from the casino area also  qld and nt wet soils in swampy areas  ,,,,,,,wet,swampy wet,,,swamp,swampy,,,,,,,,
Lobelia surrepens,"Distribution and occurrence: Grows in or near swamps, in grassland and on mud in depressions; chiefly south from Mittagong, also in the Barrington Tops and Ebor areas.NSW subdivisions: ST", grows in or near swamps in grassland and on mud in depressions chiefly south from mittagong also in the barrington tops and ebor areas  ,,,,,,,wet damp,swamps mud,depressions,depressions,grassland mud swamp,grassland mud swamps,,,,,,,,
Lobelia trigonocaulis,"Distribution and occurrence: Grows in shady areas of sclerophyll forest, in rainforest and near creeks; north from Ourimbah district. Also Qld.NSW subdivisions: NC, CC, NT Other Australian states: Qld", grows in shady areas of sclerophyllforest in rainforest and near creeks north from ourimbah district also qld  ,,,,,,,,,,,rainforest forest_sclerophyll streams,rainforest sclerophyllforest sclerophyllforest creeks rainforest,,,,,,,,
Monopsis debilis,Distribution and occurrence: NSW subdivisions: *CC,   ,,,,,,,,,,,,,,,,,,,,
Monopsis debilis var. depressa,"Distribution and occurrence: Naturalized on wet soil; rare, restricted to the Sydney area. Native of S Afr.NSW subdivisions: *CC Other Australian states: *Vic. *S.A. *W.A. Missapplied to Monopsis simplex var simplex as is published in Flora of NSW Vol. 3, p124.", naturalized on wet soil rare restricted to the sydney area native of s afr  ,,,,,rare,rare,wet,wet,,,,,,,,,,,,
Triodanis perfoliata,Distribution and occurrence: Naturalized near Urbenville. Native of N Amer.NSW subdivisions: *NC, naturalized near urbenville native of n amer  ,,,,,,,,,,,,,,,,,,,,
Wahlenbergia aridicola,"Distribution and occurrence: Grows in dune swales and beside watercourses in the northwest of the State, south from Broken Hill district and east to Wilcannia district; not common.NSW subdivisions: NFWP Other Australian states: S.A.", grows in dune swales and beside watercourses in the northwest of the state south from broken hill district and east to wilcannia district notcommon  ,XX,notcommon,,,,,,,hills swales watercourses,hill swales watercourses,streambanks sanddunes streams,watercourses dune watercourses,,,,,,,,
Wahlenbergia ceracea,"Distribution and occurrence: Grows in moist sites at high montane to alpine altitudes; chiefly south from the A.C.T., but also recorded from the Boyd Plateau and north from Barrington Tops to the Tenterfield district.NSW subdivisions: NT, CT, ST Other Australian states: Vic. Tas.", grows in moist sites at high montane to alpine altitudes chiefly south from the act but also recorded from the boyd plateau and north from barrington tops to the tenterfield district  ,,,,,,,moist,moist,plateaus,plateau,alpine montane,alpine montane,,,,,,,,
Wahlenbergia communis,"Distribution and occurrence: Widespread in open disturbed sites, particularly along roadsides.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, NFWP, SFWP Other Australian states: Qld Vic. W.A. S.A. N.T.", widespread in open disturbed sites particularly along roadsidess  ,,,,,widespread,widespread,,,,,disturbed roadside,disturbed roadsidess,,,,,,,,
Wahlenbergia densifolia,"Distribution and occurrence: Grows in subalpine grassland, chiefly at higher altitudes in the Kosciusko N.P.NSW subdivisions: ST Other Australian states: Vic.", grows in subalpinegrassland chiefly at higher altitudes in the kosciusko np  ,,,,,,,,,,,grassland_subalpine,subalpinegrassland,,,,,,,,
Wahlenbergia fluminalis,"Distribution and occurrence: Grows on inland floodplains, also sometimes on red soils; west from Albury and Dubbo districts.NSW subdivisions: NC, SC, NT, CWS, SWS, NWP, SWP, NFWP, SFWP Other Australian states: Qld Vic. S.A.", grows on inland floodplainss also sometimes on red soils west from albury and dubbo districts  ,,,,,,,,,,,floodplain,floodplains,red,red,,,,,,
Wahlenbergia glabra,"Distribution and occurrence: Grows in crevices of basalt outcrops in McPherson Ra.NSW subdivisions: NC, NT Other Australian states: Qld", grows in crevices of basalt outcrops in mcpherson ra  ,,,,,,,,,rocky_outcrop,outcrops,crevices,crevices,,,basaltic,basalt,,,,
Wahlenbergia gloriosa,"Distribution and occurrence: Grows in subalpine woodland, often in rocky sites, also in alpine herbfield and grassland; south from the A.C.T.NSW subdivisions: ST Other Australian states: Vic. This species is the floral emblem of the A.C.T.", grows in subalpine woodland often in rockysites also in alpineherbfield and grassland south from the act  ,,,,,,,,,rocky,rockysites,herbfield_alpine grassland subalpine woodland,alpineherbfield grassland subalpine woodland,,,,,soil_rocky,rockysites rockys,,
Wahlenbergia gracilenta,"Distribution and occurrence: Grows in open sites in a variety of plant communities; widespread, chiefly on the Slopes and plains, south from the Pilliga Scrub.NSW subdivisions: SC, CT, ST, NWS, CWS, SWS, NWP, SWP, NFWP, SFWP Other Australian states: Vic. Tas. W.A. S.A.", grows in open sites in a variety of plant communities widespread chiefly on the slopes and plainss south from the pilliga scrub  ,,,,,widespread,widespread,,,plains slopes,plainss slopes,plains scrubland,plains scrub,,,,,,,,
Wahlenbergia gracilis,"Distribution and occurrence: Widespread in many situations, including lawns and gardens, chiefly on the coast, tablelands and slopes, but west to Nyngan and Hay districts.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, LHI Other Australian states: Qld Vic. Tas. S.A. N.T.", widespread in many situations including lawnss and gardens chiefly on the coast tablelands and slopes but west to nyngan and hay districts  ,,,,,widespread,widespread,,,slopes plateaus,slopes tablelands,urban,gardens lawnss,,,,,,,,
Wahlenbergia graniticola,"Distribution and occurrence: Grows in woodland and scrub communities, especially on sandy soils; widespread in inland districts, west to the Wilcannia district.NSW subdivisions: NT, CT, ST, NWS, CWS, SWS, NWP, SWP, NFWP Other Australian states: Qld Vic.", grows in woodland and scrub communities especially on sandy soils widespread in inland districts west to the wilcannia district  ,,,,,widespread,widespread,,,,,scrubland woodland,scrub woodland,,,,,sand,sandy,,
Wahlenbergia gymnoclada,"Distribution and occurrence: Grows in eucalypt forest and woodland, coastal scrub and heath, cleared pastureland and swamp margins.NSW subdivisions: SC Other Australian states: Vic. Tas.", grows in eucalyptforest and woodland coastalscrub and heath cleared pastureland and swampmargins  ,,,,,,,,,coastal,coastals,scrubland_coastal forest_eucalyptus swamp_margin heath pasture woodland,coastalscrub eucalyptforest swampmargins heath pastureland woodland,,,,,,,,
Wahlenbergia insulae-howei,Distribution and occurrence: Lord Howe Island; endemic. Crevices of cliffs and other rocky sites.NSW subdivisions: LHI Rare., lord howe island endemic crevices of cliffs and other rockysites  ,,,,,,,,,cliff rocky,cliffs rockysites,crevices cliffs,crevices cliffs cliffs,,,,,soil_rocky,rockysites rockys,,
Wahlenbergia littoricola,"Distribution and occurrence: Grows in forest, woodland grassland and heath. A glabrous form occurs in coastal and tablelands districts, chiefly south from the Hunter R., but also in the Apsley–Macleay Gorges.NSW subdivisions: NC, CC, SC, NT, CT, ST, CWS, SFWP Other Australian states: Vic. Tas. W.A. S.A. Wahlenbergia 'litticola' was unintentionally formed when originally published. Corrected to 'littoricola' in Telopea 5(1) 1992.", grows in forest woodland grassland and heath a glabrous form occurs in coastal and tablelands districts chiefly south from the hunter r but also in the apsleyï¿½macleay gorges  ,,,,,,,,,coastal gorges plateaus,coastal gorges tablelands,grassland heath forest woodland,grassland heath forest woodland,,,,,,,,
Wahlenbergia luteola,"Distribution and occurrence: Grows in woodland grassland and along roadsides; chiefly on the ranges and in inland districts, south from Tenterfield district, west to Cobar and Euston districts, also recorded as collected last century near Sydney.NSW subdivisions: ?CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, SFWP Other Australian states: Vic. S.A.", grows in woodland grassland and along roadsidess chiefly on the ranges and in inland districts south from tenterfield district west to cobar and euston districts also recorded as collected last century near sydney  ,,,,,,,,,,,grassland roadside woodland,grassland roadsidess woodland,,,,,,,,
