taxon_name,distribution,,,,,
Ricinocarpos brevis,shallow sandy soils on rocky banded ironstone outcrops. The species occurs in mixed shrublands ,x,,,,
Ricinocarpos trichophorus,"d on gypsum dunes around Lake Tay (Comer et al., 2002). It is found in rocky, sandy clay along watercourses or in areas that collect run-off (Robinson and Coates, 1995; Brown et al., 1998). ",x,,,,
Sannantha tozerensis," inhabits rock crevices and pockets of soil on windswept granite outcrops (Queensland Herbarium, 2008). ",x,,,,
Scaevola macrophylla, grows in rocky loam soil with the parent soil material being laterite.,x,,soil_seedbank_present ; post_fire_recruitment,"It is thought to be a short lived species that recruits post fire (DEC, 2009).",
Sclerolaena blakei," in depressions and channels on gravelly downs (BRI collection details, n.d.).",x,,,,
Sclerolaena walkeri,"occurs on saline river flats (Wilson, 1984).  on floodplains in Queensland Bluebush (Chenopodium auricomum) and Yapunyah (Eucalyptus ochrophloia) communities (BRI collection records, n.d.).",x,,,,
Solanum karsense," occurs mainly in lake beds or floodplains of heavy grey clays with a highly self-mulching surface. It is also found on sandy floodplains and ridges and in calcareous soils, red sands, red-brown earths and loamy soils. The vegetation associated with this species includes Saltbush and Bluebush plains and Mallee associations (DECC, 2005a). ",x,,,,
Spyridium coactilifolium," is now mostly found atop rocky sea cliffs, but further inland populations occur on gentle or moderate ridges on south-east and south-west facing slopes (Davies, 1986). This species mainly occurs on sand that is pinkish-white, grey, reddish-grey or pinkish-grey when dry, with pH 6-7. One population occurs on sandy loam of pH 8.5 that is brown when dry (Davies, 1986).",x,,,,
Spyridium lawrencei," occurs in the zone between riparian vegetation, woodland or forest, and pasture,",X,,,,
Stonesiella selaginoides," occurs on dolerite soils, in either tall open heath in the ecotone between riparian scrub and open eucalypt forest, or in open dry scrub",x,,,,
Synaphea sp. Fairbridge Farm (D.Papenfus 696),"occurs on grey, clayey sand with lateritic pebbles in low woodland areas near winter flats",x,,,,
Synaphea sp. Pinjarra (R.Davis 6578)," grows in white grey clayey sand on the edges of seasonally inundated low lying or swamp areas in dense wetland heath and shrubland of Pericalymma ellipticum (Swamp Teatree), Leptospermum sp. and Xanthorrhoea preissii (Grass Tree) edged by Corymbia calophylla (Marri) and Allocasuarina sp. (Sheoak) open woodland (Stack et al., 2002).
",x,,,,
Tecticornia bulbosa,"grows in saline flats on yellow brown sandy clay, in low, open heath with very open wattle (Acacia spp.) and Melaleuca scrub, in association with other samphire and saltbush species (",x,,,,
Tephrosia flagellaris,"growing on alluvial plains in Eucalyptus woodland with Corymbia erythrophloia, Erythrophleum chlorostachys and Grevillea glauca, and in tall open forest of Eucalyptus and Corymbia species over dense Heteropogon contortus on red sand (Queensland Herbarium, 2008). ",x,,,,
Tetraria australiensis,"occurs in grey sand over clay (Keighery, 1993; Brown et al., 1998; Williams et al., 2001). The species favours winter-wet, swampy depressions, drainage lines or rises surrounding swamps (Keighery, 1993; Atkins, 1998; Brown et al., 1998; Williams et al., 2001). It is found in open forest (Atkins, 1998) or Marri (Corymbia calophylla) woodland (Keighery, 1993; Brown et al., 1998; Williams et al., 2001).",x,,,,
Tetratheca deltoidea,"occurs in shallow, nutrient rich, grey loam at the top of a granite outcrop.",x,,,,
Thelymitra jonesii,,x,,,,
Thomasia glabripetala," found on deep yellow sand over gravel and forms part of the open scrub layer in Wandoo (Eucalyptus wandoo) woodland (Brown et al., 1998). ",X,,,,
Thomasia montana,"on a range of different soil types including lateritic, red, clay-loam to granitic, red-brown, clayey loam.  moist sites with soil derived from granite.  favour disturbed sites ",x,,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),deep sandstone gorge in   occurs in a monsoon rainforest patch ,x,,,,
Trachymene scapigera,"banks of the Boyd River    restricted to flat or gently sloping ground in the riparian zone. Habitat type is variable. At one site, the species is distributed along a Leptospermum thicket, bordering the bank of a river, within eucalypt woodland. At the other site, individuals grow on a gravel patch situated beside the river (Mackenzie, 1996). streambank",x,rhizome,,,
Triplarina nitchaga,"grows on granite outcrops near the stream, in open forest dominated by Syncarpia glomulifera, Eucalyptus resinifera, and Leptospermum brachyandrum.  grows on a rhyolite hillside and dry gully, in open Eucalyptus forest",x,,,,
Typhonium mirabile," in eucalypt woodland, in shady areas with sparse leaf litter (Kerrigan et al., 2007).",x,,,,
Typhonium taylorii, found on nutrient poor sandy soils that are seasonally saturated. Associated vegetation is grassland sedgeland ,x,,,,
Dendrobium bigibbum," grows in rainforest areas on rocks, boulders and cliff faces on ridges and slopes at altitudes of 300-800 m above sea level. Plants are often exposed to the sun and can withstand long periods of hot, dry conditions (Dockrill, 1992; Lavarack et al., 2000; Jones, 2006).
",x,,,,
Dendrobium bigibbum,"grows on trees and rocks in coastal scrub, littoral rainforest, riverine vegetation, monsoon thickets, swamps and gullies in open forests at altitudes of up to 400 m above sea level (Jones, 2006). It also grows in vegetation near beaches, in areas with a hot climate and extremely seasonal rainfall (Dockrill, 1992; Lavarack et al., 2000).",x,,,,
Goodenia perfoliata,"grows in heath on shallow sandy soil over Sandstone (Carolin, 1992). ",x,,,,
Veronica ciliolata," low open alpine shrubland grows on skeletal soils, in rock crevices and between boulders where no soil exists.",x,,,,
Veronica derwentiana subsp. homalodonta," commonly found in moist gullies and near creeklines, where it typically occurs in the gap between the waterline and the tree canopy, or where rocky outcrops create a high level of light.",x,,,,
Verticordia albida," grows in white-grey to yellow sand over gravel or laterite, in scrub or thicket up to 3 m high. ",x,,,,
Verticordia apecta," grows in sandy clay with loam and broken granite, on an upper west-facing slope in Eucalyptus wandoo (Wandoo) low open woodland and low open shrubland (George and George, 1994).",x,,,,
Verticordia carinata,"found in open low woodlands of Marri (Corymbia calophylla), Jarrah (Eucalyptus marginata) and Bull Banksia (Banksia grandis) in pinkish- grey sandy soils (Robinson & Coates, 1995; Brown et al., 1998; DEC, 2008).",x,post_fire_recruitment post_disturbance_recruitment,,,
Verticordia densiflora var. pedunculata," grows on light yellow or grey sands in low-lying, winter wet areas (DEC, 2007).",x,,,,
Verticordia fimbrilepis subsp. australis,"grows in low heath in brown sandy loam around outcropping granite (Brown et al., 1998). ",x,,,,
Verticordia plumosa var. vassensis," grows on a variety of sands and swampy clay soils in mostly winter-wet flats and depressions. It grows with sedges and rushes or in low heath and is often found on degraded, grassy-weed infested road verges (Brown et al., 1998; Williams et al., 2001).",x,,,,
Verticordia staminosa subsp. staminosa, on a granite outcrop ,x,,,,
Westringia parvifolia,"This species grows with Eucalyptus bakeri and E. viridis and between clumps of Spinifex (Triodia sp.) on sandy and stony soils (BRI collection details, n.d.; White & Francis, 1921). grassland_tussock mallee",x,,,,
Westringia rupicola, grows in crevices in sheer rhyolite cliffs,x,,,,
Xerothamnella herbacea," communities in shaded situations, often in leaf litter and is associated with gilgais (shallow ground depressions). Soils are heavy, grey to dark brown clays (Queensland Herbarium, 2008).",x,,,,
Xerothamnella parvifolia, often associated with skeletal clay soils in minimally vegetated areas associated with mesas. It has been recorded within mulga woodland as well as Acacia cambagei woodland with a Senna understory in Queensland and NSW.,x,,,,
Coopernookia georgei,s found growing among thick scrub in shallow siliceous soils over quartzite in stony or rocky gullies.,x,,,,
Coopernookia scabridiuscula, on east to south-east facing cliffs and slopes in eucalypt forest and woodland at 700 to 900 m ,x,,,,
Corchorus cunninghamii," found in a mosaic of wet sclerophyll and subtropical rainforest as well as grassy open forest. This species is generally located at low to mid elevations (110-430 m), on upper hill-slopes or hill-crests that have a south-easterly or easterly aspect.  specific geology or soil type associated with the species as it occurs on both metamorphic and igneous substrates and on loam or clay soils (Halford, 1995). In general the soils are shallow, stony and well drained and common canopy species occurring alongside this species include Grey Gum (Eucalyptus propinqua), Brush Box (Lophostemon confertus) and Grey Ironbark (Eucalyptus siderophloia) (Saunders, 2001). ",x,,,,
Corunastylis sp. Charmhaven (NSW 896673),,x,,,,
Corybas sulcatus," grows in wet grassy seepage areas (Clements and Jones, 2007), beside drainage lines in the Green Gorge North basin,",x,,,,
Corymbia clandestina,"grows on hillsides as a minor component of woodland dominated by Eucalyptus crebra (Narrow-leaved ironbark) (Bean, 1994). Soils have been recorded as skeletal brown clay-loam over mica schist or red gravelly and silty (Queensland Herbarium, 2008). ",x,,,,
Corymbia rhodops,"grows in dry sclerophyll forest with numerous other eucalypt species,  prefers ridges or hill slopes with coarse sandy soils (Queensland Herbarium, 2008). ",x,,,,
Corymbia xanthope,"occurs in woodlands with Eucalyptus fibrosa on ridges or hill slopes on serpentinite geology with sandy soils (Queensland Herbarium, 2008). ",x,,,,
Craspedia preminghana, occurs on steep basalt cliffs with coastal vegetation,x,,,,
Ctenopterella blechnoides, occurs in mesophyll closed forest.,x,,,,
Cycas cairnsiana,"grows on shallow to skeletal gritty soils over siliceous granites (Hill, 1992; 1996; 1998) among large boulders of pegmatite or granite. It occurs in exposed situations among grass and sparse low shrubs, in low open eucalypt woodlands (BRI, undated; Jones, 1993; Hill, 1998).",x,,,,
Cyperus cephalotes," occurs on floating islands in rivers, with the roots entangled in a mass of decaying vegetation.",x,,,,
Darwinia acerosa,"grows on and around granite outcrops, in orange sandy clay and gravel in open Eucalyptus calophylla and Allocasuarina woodland. Xanthorrhoea, Grevillea, Melaleuca, Calothamnus, Gastrolobium, Hakea, Dryandra and Calytrix species dominate the associated scrub and heath (Kelly et al., 1990).",x,,,,
Darwinia chapmaniana,"grows around salt lakes in woodland or shrubland dominated by Mallee (Brown et al., 1998). Soils are red clayey loam, red sand over broken rock, or yellow soil in low flat areas of sandstone and limestone. Associated species include Eucalyptus gracilis, other mallee species (Eucalyptus spp.), Acacia uncinata, Acacia spp., Melaleuca uncinata, and Melaleuca spp. (Paczkowska, 1995; Patrick & Brown, 2001).",x,,,,
Darwinia masonii,"grows in yellow-brown clay loams, and is most common on the south-western sides of the ridges. ",x,root_buds resprouts post_fire_recruitment post_disturbance_recruitment,,,"Mason's Darwinia is thought to regenerate from root stock and seed after fire or disturbance (Brown et al., 1998)."
Darwinia nubigena,"occurs in dense heath on shallow, peaty, brown loamy sand over schist (Robinson & Coates, 1995; Brown et al., 1998).",x,post_fire_recruitment,,,
Darwinia polychroma,"occurs in open low scrub or shrubland with Melaleuca sp., Acacia ligulata, mallee (Eucalyptus sp.) and Exocarpos sp., on yellow loamy sand over laterite (Brown et al., 1998; Patrick & Brown, 2001).",x,,,,
Darwinia squarrosa,"confined to high, wet peaks from where it extends into wetter valleys (Keighery, 1985). It grows in peaty soil among schist rocks on mountain slopes (Rye & Hopper, 1981; Hopper et al., 1990; Robinson & Coates, 1995). The associated vegetation is dense scrub",x,,,,
Dasymalla axillaris,"grows in sandy soils (Western Australian Herbarium, 2006).",x,,post_disturbance_recruitment,,
Daviesia dielsii,"a grows on flat or elevated areas on a variety of sandy/gravelly loam soils. It occurs in tall heath over low scrub or in heath with open shrub mallee.
",x,,,,
Daviesia discolor,"occurs on sandy soil derived from sandstone and on lateritic clay, at altitudes of 600 to 900 m, in open eucalypt forest   grows in very tall open forests of Bloodwood (Corymbia trachyphloia) and White Mahogany (Eucalyptus acmenoides) on hillcrests and slopes at 500 to 580 m altitude on well-drained, shallow sandy loam",x,,,,
Daviesia elongata subsp. elongata,"known only from creeks running through rainforest margins    in narrow, shallow and heavily shaded coastal streams (Hellquist & Jacobs, 1998). ",x,,,,
Daviesia obovata,"grows in stony loam and occurs on hill slopes and outcrops (WA Herbarium, 2005). Associated species include Jarrah (Eucalyptus marginata) and Spearwood Mallee (E. doratoxylon) over heath of Beaufortia anisandra and Isopogon species (WA Herbarium, 2005). ",x,,,,
Dendrobium antennatum," in riverine areas in lowland gorges (Dockrill, 1969; Lavarack & Gray, 1985). It grows on high branches of rainforest trees and wattles in open, humid situations along stream banks",x,,,,
Dendrobium bigibbum," grows on trees and rocks with moderate light intensity in a range of habitats including coastal scrub, streambank vegetation, monsoon thickets, and",x,epiphyte lithophyte,fire_avoidance,,
Dendrobium johannis," grows in open humid habitats, on slopes in open woodland, close to swamps and in pockets of monsoon forests (Jones, 2006). It has been recorded growing on Broad-leaved Tea-tree (Melaleuca viridiflora) in a melaleuca woodland",x,,,,
Dichanthium queenslandicum,,x,,,,
Dodonaea rupicola,"low hill crests and moderately to steeply inclined slopes between 40 to 160 m above sea level, in open shrubland to tall woodlands (Halford, 1998). ",x,,,,
Drakaea concolor,"grows in sandy soil over sandstone, in clearings among thick scrub or low, dense heath. ",x,,,,
Drummondita longifolia,"found on granite hillsides in shallow crevices in brown, loam soil. It occurs among open shrubs and heath",x,,,,
Eleocharis retroflexa,"grows in shallow water on the margins of seasonal swamps (BRI collection records, n.d.) ",x,,,,
Epacris barbata,,x,,,,
Epacris graniticola,"grows on skeletal soils on rocky outcrops of Devonian granites, usually on summits, in heaths and dry scrub-forests between 90 and 720 m above sea level (Keith, 1998).",x,,,,
Eremochloa muricata,grassy exposed rocky headland,x,,,,
Eremophila koobabbiensis," habitat of the species consists of open Eucalyptus salmonophloia (Salmon Gum) and Eucalyptus salubris (Gimlet) woodland in flat, loamy, brown soil with Eremophila sargentii (CALM, 2006). Eucalyptus woodland open woodland",x,,,,
Eremophila rostrata," grows on stony, buff coloured saline clays at the base of quartzite hills in an open shrubland (to 2.5 m)  grows in red brown clay loam in open mallee woodland (to 6 m) o",x,,,,
Eremophila ternifolia,"grows in red clays between breakaways, in mallee or morel and gimlet woodlands with scattered mallee",x,,,,
Eremophila vernicosa,"occurs on slopes and flats on laterite sands (DEC, 2008). ",x,leaves_glossy,,,
Eucalyptus alligatrix subsp. miscella,"grows in sclerophyll woodland on shallow, relatively infertile soils (NSW OEH, 2012). ",x,,,,
Eucalyptus beaniana,"grows in woodland with numerous other eucalypt species, on quartzose sandstone ridges. Soils are shallow and sandy (Queensland Herbarium, 2008). eucalypt woodland",x,,,,
Eucalyptus caleyi subsp. ovendenii," occupies the crests of broad high ridges (Hill & Johnson, 1991). Preferred altitudes are 610- 820 m, on granitic substrates (DECC NSW, 2005a). grows on shallow soils in dry, open grassy woodlands (Hill & Johnson, 1991)  grassy woodland habitat.",x,,,,
Eucalyptus crispata," grows in clayey soils in shallow gullies, or on lateritic or granite breakaways and slopes (Brown et al., 1998; DEC, 2008).",x,,,,
Eucalyptus crucis subsp. crucis,"grows on shallow, granitic, sandy loam soil on granite rocks ",x,,,,
Eucalyptus gunnii subsp. divaricata,"adapted to poorly drained high-altitude sites on the edges of treeless flats and frost hollows (Potts, Potts & Kantvilas, 2001).",x,,,,
Eucalyptus kabiana,"occurs in open heath dominated by Tea-tree (Leptospermum luehmannii) with stunted Brush Box (Lophostemon confertus) on steep to very steep slopes where plants are rooted in fissured natural pavement with little accumulated soil. The substrate is volcanic rock known as trachyte (Johnson & Hill, 1991).",x,,,,
Eucalyptus x lateritica," inhabits white or grey sandy soils of lateritic, gravelly slopes and breakaways in upland regions. Laterite Mallee occurs in mallee heath that include",x,,,,
Eucalyptus mooreana,grows on sandy soil overlying sandstone and quartzite on summits,x,,,,
Eucalyptus paedoglauca," occurs on ridges or hill slopes on shallow sandy-loam soil (Queensland Herbarium, 2008).",x,,,,
Eucalyptus platydisca,restricted to two granite hills The soil is poorly developed reddish sandy loam among small stones and large boulders. ,x,,,,
Eucalyptus pruiniramis,"grows in open, low mallee woodlands emerging from heath or scrub in yellow sand or brown, sandy loam and lateritic gravel or quartz. It usually occurs on mid-slopes, fairly high in the landscape (Brown et al., 1998; Patrick & Brown, 2001).",x,,,,
Eucalyptus recta,"occurs on gravel rises and gravelly sands on slopes with Eucalyptus gardneri (Blue Mallet) and Eucalyptus salmonophloia (Salmon Gum) in the Cadoux area, and with the Salmon Gum in the Wongan Hills area (CALM, 2005).",x,,,,
Eucalyptus rubida subsp. barbigerorum,"occurs in grassy woodland on deep, fertile clay-loam soils. ",x,,,,
Euphorbia carissoides," grows on clifflines, among rocky outcrops and hillsides in shrubland and eucalypt low open woodland communities in generally shallow soils derived from sandstone, granite and rhyolite substrates (Queensland Herbarium, 2008). ",x,,,,
Fimbristylis adjuncta,"grows in dried out places in swamps (Blake 1947; BRI collection records, n.d). ",x,,,,
Frankenia conferta,preferred habitat is around the high water mark of lake shorelines to the tops of low mounds within saline pans. T,x,,,,
Frankenia parvula," found on white to brown sand over sandy clay in sandy rises near saline drainage lines, along the high water mark of salt lake edges and major drainage channels, and also sometimes on the pan of seasonal lakes. T",x,,,,
Frankenia plicata,"grows in a range of habitats, including on small hillside channels, which take the first run-off after rain (Leigh et al., 1985). In the Simpson Desert, the species has been found predominantly from swales of loamy sands to clay (Neagle, 2002). This species is found in a wide range of vegetation communities that have good drainage (Neagle, 2002). drainages",x,,,,can reproduce vegetatively by rooting at nodes along the main stems.
Galium antarcticum,vegetated bank at the edge of a lake feldmark lakeshore,x,,,,
Gastrolobium graniticum," margins of granite outcrops, especially along drainage lines, on sandy soils in open woodland",x,,,,
Gastrolobium hamulosum,"grows on pale yellow clay loam with some sand and gravel on clay flats. It also grows in white and grey sand or sandy clay. It sometimes occurs in disturbed ground with other colonising shrubs, such as in low heath  This species has also been recorded from quartzite ridges (Brown et al., 1998; Johnston et al., 2006). ",x,,,,
Gastrolobium lehmannii,"occurs in red and brown loam and gravel with three populations occurring on sloping topography, while the remaining three occur on breakaways and hilltop. All known populations occur in low open woodland of Eucalyptus marginata and E. falcata with Hakea lissocarpha, Austrostipa spp. and Austrodanthonia spp. (Chandler et al., 2002).",x,,,,
Gastrolobium luteifolium,grows in skeletal sandy clay loam soils in shrubland on a mountain slope and summi,x,,,,
Gastrolobium modestum,"grows in what appears to be a transitional vegetation community between ironstone outcrops and adjacent sand over clay habitats (Brown et al., 1998), on the edges of an ironstone flat and drainage lines, with variable, shallow soils of red clay-loam to grey sand (Crisp, 1995; Chandler et al., 2002),",x,,,,
Gingidia rupicola," occurs in crevices of basalt and trachyte rock on cliffs, 1400-1750 m above sea level. ",x,,,,
Grevillea brachystylis subsp. grandis,"grows on brown lateritic clay loam soils, in Marri woodland",x,,,,
Grevillea calliantha,"grows in grey or yellow sand or sandy clay on lower to mid level slopes to low hills and rises, or sometimes on slopes in shallow gullies between lateritic ridges. Foote's Grevillea grows in low heath and dwarf scrub under open low woodland of Eucalyptus ",x,,,,
Grevillea flexuosa,"grows on sands of granite ridgetop plateaus and associated breakaways (Olde & Marriott, 1995; Western Australian Herbarium, 2008), or lateritic sands and gravel (Western Australian Herbarium, 2008) on hilltops, slopes and in gullies (Brown et al., 1998).",x,,,,
Grevillea iaspicula,"grows on steep slopes and around sinkholes in limestone-derived soil, in rock crevices around the entrance to caves, on steep rocky hillsides or at the base of cliffs. It occurs in Eucalyptus and Brachychiton low woodland with a generally open shrub and grass understorey (Briggs & Leigh, 1990; Butler et al., 1991; Olde & Marriott, 1995; Makinson, 2000).",x,,,,
Guichenotia seorsiflora,"occurs on sandy clay with lateritic gravel and on breakaways (a lateritic ridge with a steep eroded slope) (Western Australian Herbarium, 2005).",x,,,,
Gyrostemon reticulatus,grows in dense shrubland in brown/yellow loamy sand on sloping topography. ,x,,,,
Hakea maconochieana," collected on rocky ridge tops in shallow, stony red soil, often with Bastard Mulga (Acacia stowardii) and Hakea collina (BRI collection records, n.d.)",x,,,,
Haloragis exalata subsp. exalata,"known from a range of vegetation types, all of which appear to have a history of recurrent disturbance. It appears to be a post-disturbance coloniser, based on observations of large numbers of plants on disturbed roadsides, cleared power-line easements, and recently burnt or flooded areas.",x,post_disturbance_recruitment,,,
Haloragis exalata subsp. velutina,"occurs in damp places near watercourses and in woodland on steep rocky slopes (NSW DECC, 2005a). In Queensland, it occurs in rainforest and rainforest margins and adjacent grassland and open grassy woodland above 500 metres altitude (Queensland CRA/RFA Steering Committee, 1998; Queensland Herbarium, 2008). ",x,,,,
Haloragis eyreana,"occurs in low-lying areas on poorly drained clay loam soils that tend to be waterlogged in winter (Pobke, 2007; Jusaitis & Freebairn, 2010). Most collections have been made in disturbed open grassland, and the species has only occasionally been found in more intact habitat where it is associated with ridge-fruited mallee (Eucalyptus incrassata), Dumosa mallee (E. dumosa) or totem-poles (Melaleuca decussata) (Jusaitis et al., 2000c, cited in Pobke, 2007).",x,,,,
Haloragis platycarpa,found in flat areas in low woodland growing in brown loam soils in association ,x,,,,
Helicteres macrothrix,"found in open woodlands dominated by Eucalyptus tectifica or E. miniata, on sandy loam and on rocky siltstone slopes or granite (Holmes et al., 2005; Woinarski et al, 2007). ",x,,,,
Hemigenia ramosissima," occurs on grey, loamy clay in open mallee shrubland composed of Eucalyptus spathulata (Swamp Mallet) over heath of Melaleuca uncinata (Broombush) and M. acuminata (Phillimore and Brown, 2003).
",x,,,,
Hensmania chapmanii,"grows in yellow-grey or lateritic sand among tall shrubland or open low woodland of Pricklybark (Eucalyptus todtiana) and banksias, with scrub or heath beneath, on low ridges or hill slopes. ",x,,,,
Hibbertia basaltica,found in native grasslands on basalt slopes along the lower reaches of the Jordan River and one of its tributaries. It grows in a narrow band around 50-150 m from these watercourses,x,,,,
Hibbertia crispula,,x,,,,
Hibbertia priceana,"occurs on sandy clay with laterite gravel and occurs primarily on ridges (Western Australian Herbarium, 2006).",x,post_disturbance_recruitment rain_cued_flowering,,,
Hibbertia puberula subsp. glabrescens,currently maintained as grasslands.  as modified Sydney Coastal Riverflat Forest - Alluvial Woodland. It occurs on Sandy Tertiary Alluvium with a high silt content. ,x,,,,
Hibbertia tenuis,,x,,,,
Hibiscus cravenii,"occurs on sandy soils at the base of sandstone escarpments associated with the Kelly's Knob sandstone formation (Woinarski at al., 2007). ",x,,,,
Homoranthus decumbens," found in tall shrubland or heath up to 800 m in altitude. It occurs on the edges of sandstone cliffs or in shallow sandy soil containing lateritic pebbles, ",x,,,,
Homoranthus montanus,"grow in shallow, well drained soil in crevices on rock pavements on north-east and easterly slopes of granite hillsides at an altitude of 750-850 m above sea level (Craven & Jones, 1991; Donatiu, 2006). It grows in open forest dominated by Gum-topped Peppermint (Eucalyptus andrewsii) to woodland and heathland dominated by Black Cypress (Callitris endlicheri), Orange Gum (E. prava), Tumble-down Red Gum (E. dealbata) and Caley's Ironbark (E. caleyi subsp. caleyi). T",x,,,,
Homoranthus porteri,"occurs on sandstone pavement, rocky outcrops, hillsides and scree slopes in open eucalypt woodland (Craven & Jones, 1991; BRI collection records, n.d.)",x,,,,
Indigofera efoliata,"prefers stony ground in red-brown sandy loam on a slight rise, among ironstone formation (Harden, 1991; Ayres et al., 1996; Mackay & Gross, 1998). It appears to inhabit Yellow-box (Eucalyptus melliodora) woodland (Mackay & Gross, 1998), E. crebra- Callitris glaucophylla dry sclerophyll forest and E. macrocarpa-Callitris glaucophylla tall woodland (DECC, 2005).  eucalypt woodland",x,,,,
Isopogon robustus,"occurs in very open shrubland. The species grows in grey skeletal sandy loam over laterite and occurs on a decomposing laterite shelf (WAH, 2006).",x,,,,
Jacksonia velveta,"grows in brown to red gravelly loam over laterite, on slight slopes in low woodland areas ",x,,,,
Kardomia granitica,"occurs in the crevices of granite outcrops dominated by heath (Bean, 1997)",x,,,,
Kennedia glabrata,"inhabits shallow pockets of soil on granite outcrops, in association with mosses and herbs (Robinson & Coates, 1995; Brown et al., 1998).",x,,,,
Kennedia lateritia,"grows close to the coast in black humus-rich soils, often among granite outcrops. The vegetation is typically low coastal heath  eucalypt forest",x,,,,
Kennedia retrorsa," found in a variety of habitats, from mountainsides to riparian zones, in eucalypt woodland or wet forest with Eucalyptus deanei or along creeks with Leptospermum polygalifolium. The species occupies sheltered sites, generally north facing at 0-300 m altitude in cool damp situations, with an intermittent supply of moisture, and is also known to occur on exposed rocky ridgelines. The substrate tends to be rocky with sandy soil but associated with volcanic neck (Leigh et al., 1984; Benson & McDougall, 1996; DECC, 2005).",x,,,,
Lasiopetalum longistamineum,"occurs in grassy woodlands and dry rainforests and grows on rich alluvial deposits (Harden, 1990; DECC, 2005a).",x,,,,
Lasiopetalum rotundifolium," area that was most likely originally Wandoo woodland.   known to grow in areas of open woodland on the slopes of hills, in gravely, brown, clayey sand (Brown et al., 1998; DEC, 2008). T",x,,,,
Lasiopetalum sp. Proston (J.A.Baker 17),"occurs in open eucalypt forest on red, volcanic loamy soils on basalt. ",x,,,,
Lawrencia buchananensis," in salt meadows surrounding the lake, on saline clays, sandy muds, and sand dunes. Associated vegetation includes low shrubland, herbland and sedgeland ",x,,,,
Lechenaultia chlorantha,"inhabits rocky gullies, ridges, breakaways and ledges of red sandstone. It grows in pockets of shallow yellow-brown sand, which may be situated in rock crevices or amongst open low shrub with other species,",x,,,,
Leionema obtusifolium,"occurs in eucalypt forest, often with White Mahogany (Eucalyptus acmenoides) and Brown Bloodwood (Corymbia trachyphloia), on sandstone substrates and on granite at Crows Nest NP (BRI collection records, n.d.).",x,,,,
Lepidosperma rostratum,"grows in sandy soil among low heath in a winter- wet swamp (Brown et al., 1998). 
woodlands on heavy soils of the Swan Coastal Plain",x,,,,
Leptomeria dielsiana,scrubby heath ,x,,,,
Styphelia conferta,"may occur in open forest or woodland in rocky granite areas (DECC, 2005). ",x,,,,
Styphelia exolasia,"inhabits woodland on sandstone (DECC, 2005) and prefers rocky hillsides along creek banks (NSW NPWS, 1997) up to 100 m altitude (Powell, 2007).",x,,,,
Styphelia sp. Coolmunda (D.Halford Q1635),"occurs in undulating terrain between 300 and 340 metres above sea level (Halford, 1993).  soils are shallow to 1 m in depth, light coloured sandy loams with mottled orange clayey subsoils (Halford, 1993). The vegetation is predominantly open forest to woodland with a dense lower stratum of heath to 1.5 m high. ",x,,,,
Limonium australe var. baudinii,"grows in saltmarsh habitat close to or below the high tide mark (TSSC, 2005a).",x,,,,
Lysiosepalum abollatum,"grows under open mallee-heath in orange-brown, sandy clay over laterite at the base and lower slopes of hills. ",x,,,,
Macrozamia machinii,occur in sandy soils in flat areas of open forest dominated   occurs on a red lateritic ridge with ,x,,,,
Macrozamia parcifolia,"grows on well-drained, hard, red-brown clay loams of basaltic origin on ridges and slopes in tall open forest with a sparse to dense shrubby understorey (Queensland CRA/RFA Steering Committee, 1998).",x,,,,
Leichhardtia brevifolia,"grows on serpentine rock outcrops or crumbly black soils derived from serpentine in eucalypt woodland,  grow in woodland on granite soils occurs in open forest on dark acid agglomerate soils (Forster, 1995)",x,,,,
Melaleuca kunzeoides," grows in shallow soil and dissected residual in association with Mountain Yapunya (Eucalyptus thozetiana), E. tessellaris, Eremophila latrobei and Bastard mulga (Acacia stowardii) (BRI collection records, n.d.). ",x,,,,
Microcarpaea agonis,\margins of an Eleocharis- Cyperus dominated seasonal swamp ,x,,,,
Microcorys eremophiloides,grows in soils over massive laterite and occurs as scattered plants in closed health with emergent mallees,x,,,,
Microlepidium alatum,"often grows in sheltered sites, particularly in moss beds with southerly aspects. The soil type of one sub-population has been described as light brown-white sandy loam over sheet limestone (Pobke, 2007). This species is found mostly in semi-arid habitats in Melaleuca lanceolata open-woodland with chenopod and Eremophila shrubland. ",x,,,,
Corybas dienemus," found on the lower coastal terraces (less than 30 m above sea level) of the island and peat wetland where the vegetation is dominated by mosses which float on a waterlogged underlayer. The soil substrate is waterlogged peat where the water table is very close to the soil surface (Clements and Jones, 2007).",x,,,,
Newcastelia velutina,widespread in open woodland and shrubland over granite hillslopes and crests and is locally common with a patchy distribution within the area,x,,,,
Notelaea ipsviciensis," grows as an understorey plant in open woodlands, and is primarily associated with eucalypt-dominated dry sclerophyll communities situated on poor, sandstone-based soils (Lock et al., 2004; Beyleveld, 2006, 2007).",x,,,,
Notelaea lloydii,"occurs in open eucalypt forest, often near the margins of vine thickets, vine forests and softwood scrub at altitudes between 80 and 480 m. It is usually found on stony, shallow and rocky soils derived from sandstone or acid volcanic rocks, often on steep slopes, or near drainage lines (Queensland Herbarium, 2008).",x,,,,
