taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Daviesia genistifolia,Scattered across northern Victoria from the South Australian border to near Wangaratta eg Dimboola Wedderburn Nagambie and Chiltern areas but rare Found in dry sclerophyll forests,Scattered across northern Victoria from the South Australian border to near Wangaratta eg Dimboola Wedderburn Nagambie and Chiltern areas but rare Found in drysclerophyll forests,rare,rare,forest_dry_sclerophyll dry_sclerophyll forest,drysclerophyll drysclerophyll forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia laevis,Apparently confined to the Grampians and Mt Cole areas where found mostly in montane gullies on poor sandy or skeletal soils A collection labelled Nowa Nowa 1900 is of very doubtful provenance,Apparently confined to the Grampians and Mt Cole areas where found mostly in montane gullies on poor sandy or skeletal soils A collection labelled Nowa Nowa 1900 is of very doubtful provenance,NA,NA,NA,NA,gullies,gullies,NA,NA,sand skeletal,sandy skeletal,NA,NA,NA,NA
Daviesia latifolia,Widespread plant of dry sclerophyll forests common across much of the state but apparently most abundant in the east where ascending to c 1800 m,Widespread plant of drysclerophyll forests common across much of the state but apparently most abundant in the east where ascending to c 1800 m,NA,NA,forest_dry_sclerophyll dry_sclerophyll forest,drysclerophyll drysclerophyll forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia laxiflora,Apart from a disjunct occurrence at Wilsons Promontory apparently confined to moist montane forests of the Eastern Highlands between Marysville and Mt Baldhead,Apart from a disjunct occurrence at Wilsons Promontory apparently confined to moist montane forests of the Eastern Highlands between Marysville and Mt Baldhead,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia leptophylla,Widespread across central Victoria usually in dry open sites in sclerophyll forest growing on poor skeletal soils,Widespread across central Victoria usually in dry open sites in sclerophyll forest growing on poor skeletal soils,NA,NA,forest sclerophyll,forest sclerophyll,NA,NA,NA,NA,skeletal,skeletal,NA,NA,NA,NA
Daviesia mimosoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia mimosoides subsp. acris,Apparently confined to eastern Victoria where restricted to a few rocky peaks and ridges above 1200 m altitude Grows in dry sclerophyll forests or open shrubberies on rocky substrates,Apparently confined to eastern Victoria where restricted to a few rocky peaks and ridges above 1200 m altitude Grows in drysclerophyll forests or open shrubberies on rocky substrates,NA,NA,forest_dry_sclerophyll dry_sclerophyll forest,drysclerophyll drysclerophyll forests,ridge,ridges,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia mimosoides subsp. mimosoides,Restricted to eastern Victoria where found from near sealevel to about 1500 m altitude Grows mainly in open sclerophyll forests on light or skeletal soils,Restricted to eastern Victoria where found from near sealevel to about 1500 m altitude Grows mainly in open sclerophyll forests on light or skeletal soils,NA,NA,forest sclerophyll,forests sclerophyll,NA,NA,NA,NA,skeletal,skeletal,NA,NA,NA,NA
Daviesia pectinata,In Victoria confined to the west where apparently restricted to the Little Desert and Horsham areas Found in mallee scrublands and woodlands on dry stony or sandy soils,In Victoria confined to the west where apparently restricted to the Little Desert and Horsham areas Found in malleescrublands and woodlands on dry stony or sandy soils,NA,NA,mallee woodland,mallees woodlands,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Daviesia schwarzenegger,Largely confined to mallee and boxironbark woodlands between Charlton and Rushworth An outlying western record from the Grampians 1899 is dubious and may be the result of mislabelling,Largely confined to mallee and boxironbark woodlands between Charlton and Rushworth An outlying western record from the Grampians 1899 is dubious and may be the result of mislabelling,NA,NA,mallee woodland,mallee woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia ulicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia ulicifolia subsp. ruscifolia,Widespread and common in hilly country extending into montane and subalpine areas,Widespread and common in hilly country extending into montane and subalpine areas,NA,NA,subalpine,subalpine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia ulicifolia subsp. ulicifolia,Apart from the north and northwest widespread across most of the state in a wide variety of habitats �,Apart from the north and northwest widespread across most of the state in a wide variety of habitats �,NA,NA,widespread,widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia wyattiana,Very localised in East Gippsland where known with certainty only on Mt Kaye where growing in dry sclerophyll forest Rogers 1980 reported that he saw the species at Wangrabelle = Wangarabell in 1967 however there are no herbarium collections to substantiate the record,Very localised in East Gippsland where known with certainty only on Mt Kaye where growing in drysclerophyll forest Rogers 1980 reported that he saw the species at Wangrabelle = Wangarabell in 1967 however there are no herbarium collections to substantiate the record,NA,NA,forest_dry_sclerophyll dry_sclerophyll forest,drysclerophyll drysclerophyll forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delairea odorata,Also naturalised LHI Native to southern Africa Widespread in cooler moister parts of southern Victoria often in disturbed areas in gullies and around forest margins,Also naturalised LHI Native to southern Africa Widespread in cooler moister parts of southern Victoria often in disturbed areas in gullies and around forest margins,NA,NA,forest,forest,gullies,gullies,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobium kingianum,Native to,Native to,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobium speciosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobium speciosum var. speciosum,Locally abundant in a few localities in far East Gippsland growing on sandstone or granite outcrops or perched on cliff faces,Locally abundant in a few localities in far East Gippsland growing on sandstone or granite outcrops or perched on cliff faces,NA,NA,rocky_outcrop,outcrops,NA,NA,NA,NA,sand,sands,NA,NA,granite sandstone,granite sandstone
Dendrobium striolatum,In Victoria confined to East Gippsland where sometimes locally plentiful chiefly on granite rock faces and crevices in both sheltered and quite exposed sites,In Victoria confined to East Gippsland where sometimes locally plentiful chiefly on granite rock faces and crevices in both sheltered and quite exposed sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,granite,granite
Dendrophthoe vitellina,Confined to far East Gippsland in the vicinity of Mallacoota Inlet where parasitic on Eucalyptus Angophora and Corymbia,Confined to far East Gippsland in the vicinity of Mallacoota Inlet where parasitic on Eucalyptus Angophora and Corymbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennstaedtia davallioides,Norfolk Is Found in East Gippsland Otway Range and at one isolated locality near Marysville northeast of Melbourne Although uncommon it can form extensive colonies near streams and in humid gullies,Norfolk Is Found in East Gippsland Otway Range and at one isolated locality near Marysville northeast of Melbourne Although uncommon it can form extensive colonies near streams and in humid gullies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deparia petersenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deparia petersenii subsp. congrua,Norfolk Is New Zealand found throughout the Asian and Indian region and on many Pacific islands naturalized in the Americas Rare in Victoria and confined to a few sites from Buchan eastwards occurring in wet shaded forests riverflats or on damp rock faces,Norfolk Is New Zealand found throughout the Asian and Indian region and on many Pacific islands naturalized in the Americas Rare in Victoria and confined to a few sites from Buchan eastwards occurring in wet shaded forests riverflats or on damp rock faces,NA,NA,forest,forests,flat,riverflats,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia cespitosa,Widely distributed throughout the world and largely confined to damp peaty sites at both low and high elevations In Victoria an uncommon grass of damp to wet alpine or subalpine grasslands eg Bennison Bogong Dargo and Nunniong Plains Omeo district with a disjunct occurrences near Woodend Colac and Dartmoor in the far southwest A 1905 specimen at MEL labelled Sandringham is of dubious origin,Widely distributed throughout the world and largely confined to damp peaty sites at both low and high elevations In Victoria an uncommon grass of damp to wet alpine or subalpinegrasslands eg Bennison Bogong Dargo and Nunniong Plains Omeo district with a disjunct occurrences near Woodend Colac and Dartmoor in the far southwest A 1905 specimen at MEL labelled Sandringham is of dubious origin,NA,NA,alpine,alpine,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Descurainia sophia,Naturalised in Native to Eurasia Recorded once in Victoria in 1955 from Minyip an area intensively used for grain production between Horsham and Donald,Naturalised in Native to Eurasia Recorded once in Victoria in 1955 from Minyip an area intensively used for grain production between Horsham and Donald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium brachypodum,New Guinea A rare species confined to rainshadow areas of eastern Victoria Upper Snowy River and Tabberabbera area where growing in openforest and woodland on dry ridges and along river valleys,New Guinea A rare species confined to rainshadow areas of eastern Victoria Upper Snowy River and Tabberabbera area where growing in openforest and woodland on dry ridges and along rivervalley,rare,rare,forest_open woodland,openforest woodland,ridge,ridges,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium gunnii,Also Widespread across southern Victoria but most abundant in the eastern half of the State Grows mainly in sclerophyll forests and woodlands,Also Widespread across southern Victoria but most abundant in the eastern half of the State Grows mainly in sclerophyll forests and woodlands,NA,NA,forest woodland sclerophyll,forests woodlands sclerophyll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium varians,An uncommon species mostly from inland parts of eastern Victoria where found mainly in woodland and openforest,An uncommon species mostly from inland parts of eastern Victoria where found mainly in woodland and openforest,NA,NA,woodland,woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia affinis,Also NSW Kosciusko area Rare in Victoria and apparently confined to gravelly seepage areas near Sphagnum mossbeds in the vicinity of Mt Cope on the Bogong High Plains,Also NSW Kosciusko area Rare in Victoria and apparently confined to gravelly seepage areas near Sphagnum mossbeds in the vicinity of Mt Cope on the Bogong High Plains,NA,NA,NA,NA,seepage,seepage,NA,NA,gravelly,gravelly,NA,NA,NA,NA
Deyeuxia boormanii,Known in Victoria only from a few recent collections from montane forests and swamps to the north and west of of the Errinundra Plateau eg upper Delegate River at Bidwell Gunmark Range Mt Jersey area,Known in Victoria only from a few recent collections from montane forests and swamps to the north and west of of the Errinundra Plateau eg upper Delegate River at Bidwell Gunmark Range Mt Jersey area,NA,NA,forest swamp,forests swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia brachyathera,Occasional in wet alpine grasslands and heathlands but commoner in or near peaty bogs or swamps of subalpine woodlands or tall montane forests Apart from the main ranges the species has also been collected near Mt Pilot and Mt Samaria in the northeast and at lower altitude at Steels Creek near Yarra Glen,Occasional in wet alpinegrasslands and heathlands but commoner in or near peaty bogs or swamps of subalpine woodlands or tall montane forests Apart from the main ranges the species has also been collected near Mt Pilot and Mt Samaria in the northeast and at lower altitude at Steels Creek near Yarra Glen,NA,NA,grasslands_alpine forest heath subalpine swamp woodland,alpinegrasslands forests heathlands subalpine swamps swamps woodlands,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Deyeuxia breviglumis,In Victoria confined to the eastern subalps eg Nunniong Plateau Cobberas area but sometimes locally common Occurs in peaty heathland generally in treeless hollows,In Victoria confined to the eastern subalps eg Nunniong Plateau Cobberas area but sometimes locally common Occurs in peaty heathland generally in treeless hollows,NA,NA,heath subalpine,heathland subalps,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Deyeuxia carinata,Occurs in moist grasslands heathlands or rocky drainage areas of the alps eg Baw Baws Mt Buffalo Mt Buller Mt Wellington Mt Nunniong Mt Hotham Mt Cobberas Bogong and Dargo High Plains,Occurs in moist grasslands heathlands or rocky drainage areas of the alps eg Baw Baws Mt Buffalo Mt Buller Mt Wellington Mt Nunniong Mt Hotham Mt Cobberas Bogong and Dargo High Plains,NA,NA,alpine grassland grasslands heath,alps grasslands grasslands heathlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia contracta,Mainly confined to shaded usually lowland forests from about Lakes Entrance eastwards Brodribb and Rodger River headwaters Soda Creek near Mt Drummer Bonang area and often occurring in or near Lillypilly dominated warmtemperate rainforest jungle vegetation,Mainly confined to shaded usually lowland forests from about Lakes Entrance eastwards Brodribb and Rodger River headwaters Soda Creek near Mt Drummer Bonang area and often occurring in or near Lillypilly dominated warmtemperaterainforest jungle vegetation,NA,NA,rainforest_cool_temperate forest,warmtemperaterainforest forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia crassiuscula,Apparently confined to rocky areas above treeline on the higher mountains eg Mt Buller type area The Bluff Mt Stirling Bogong High Plains Cobberas Wombargo Range and rather rare,Apparently confined to rocky areas above treeline on the higher mountains eg Mt Buller type area The Bluff Mt Stirling Bogong High Plains Cobberas Wombargo Range and rather rare,NA,NA,NA,NA,mountains,mountains,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia decipiens,Known in Victoria from few collections near Buchan and Genoa mostly in seasonally damp heathland or heathy openwoodland Otherwise a species predominantly of dryish sandstone country around Sydney,Known in Victoria from few collections near Buchan and Genoa mostly in seasonally damp heathland or heathy openwoodland Otherwise a species predominantly of dryish sandstone country around Sydney,NA,NA,heath,heathland,NA,NA,NA,NA,sand,sands,NA,NA,sandstone,sandstone
Deyeuxia densa,Scattered in southern Victoria from the SA border to within a few km of the NSW border at Maramingo Creek Occurs mostly in damp lowland heathland and woodland but also in rocky sites at higher altitudes in the Grampians eg Mt William summit Mt Rosea where rather common and more robust than eastern forms,Scattered in southern Victoria from the SA border to within a few km of the NSW border at Maramingo Creek Occurs mostly in damp lowland heathland and woodland but also in rockysites at higher altitudes in the Grampians eg Mt William summit Mt Rosea where rather common and more robust than eastern forms,NA,NA,heath rocky woodland,heathland rockysites woodland,NA,NA,NA,NA,rocky,rockysites,NA,NA,NA,NA
Deyeuxia frigida,Occasional in tall montane forest and Snowgum woodlands rarely above treeline in eastern Victoria where usually in rocky sites Also in tall wet forest of the southern Otways where apparently rare,Occasional in tall montane forest and Snowgum woodlands rarely above treeline in eastern Victoria where usually in rockysites Also in tall wet forest of the southern Otways where apparently rare,NA,NA,forest rocky woodland,forest rockysites woodlands,NA,NA,NA,NA,rocky,rockysites,NA,NA,NA,NA
Deyeuxia gunniana,Occasional in soaks gullies and streamsides often in montaine forest under thickets of Leptospermum grandifolium in higher subalpine areas of the eastern ranges eg Tulach Ard near Gelantipy Nunniong Plateau upper Rodger River Delegate River Coast Range Cobberas Wombargo Range rare further west at eg Mt Speculation Baw Baws and Lake Mountain,Occasional in soaks gullies and streamsides often in montaine forest under thickets of Leptospermum grandifolium in higher subalpine areas of the eastern ranges eg Tulach Ard near Gelantipy Nunniong Plateau upper Rodger River Delegate River Coast Range Cobberas Wombargo Range rare further west at eg Mt Speculation Baw Baws and Lake Mountain,rare,rare,forest subalpine thickets,forest subalpine thickets,gullies,gullies,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia imbricata,Known in Victoria by only two collections from near Stawell north of the Grampians where occurring in open Eucalyptus leucoxylon woodland,Known in Victoria by only two collections from near Stawell north of the Grampians where occurring in open Eucalyptus leucoxylon woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia innominata,Occurs in damp grassland and heathland communities virtually throughout the alps eg Lake Mountain Baw Baws Mt Buller Snowy Range Mt Buffalo Bogong High Plains Nunniong Plateau Cobberas but not common,Occurs in damp grassland and heathland communities virtually throughout the alps eg Lake Mountain Baw Baws Mt Buller Snowy Range Mt Buffalo Bogong High Plains Nunniong Plateau Cobberas but not common,NA,NA,alpine grassland heath,alps grassland heathland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia mesathera,Known in Victoria by a single 1905 collection at NSW herbarrium and labelled Orbost The habitat in Victoria is unknown but in New South Wales the species occurs in lowland swampy vegetation,Known in Victoria by a single 1905 collection at NSW herbarrium and labelled Orbost The habitat in Victoria is unknown but in New South Wales the species occurs in lowland swampy vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia minor,Generally confined to damp lowland sites in southern Victoriaeg lower Glenelg River Casterton Warrandyte Wilsons Promontory type locality Corner Inlet and Genoa areas but with isolated inland records from near the upper Thompson River at c 1100 m in 1990 and the Grampians in the 1800s,Generally confined to damp lowland sites in southern Victoriaeg lower Glenelg River Casterton Warrandyte Wilsons Promontory type locality Corner Inlet and Genoa areas but with isolated inland records from near the upper Thompson River at c 1100 m in 1990 and the Grampians in the 1800s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia monticola,Rather common in subalpine woodlands montane forests and alpine grasslands above c 1200 m mostly from Lake Mountain eastwards but with scattered records between Macedon and Daylesford and descending to lower altitudes in a few localities in East Gippsland eg near Orbost Club Terrace and Bonang,Rather common in subalpine woodlands montane forests and alpinegrasslands above c 1200 m mostly from Lake Mountain eastwards but with scattered records between Macedon and Daylesford and descending to lower altitudes in a few localities in East Gippsland eg near Orbost Club Terrace and Bonang,NA,NA,grasslands_alpine forest subalpine woodland,alpinegrasslands forests subalpine woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia pungens,Apparently endemic Known only from bare sandstone crags and dry rocky woodland in rainshadow country near Suggan Buggan,Apparently endemic Known only from bare sandstone crags and dry rocky woodland in rainshadow country near Suggan Buggan,NA,NA,woodland,woodland,NA,NA,NA,NA,sand,sands,NA,NA,sandstone,sandstone
Deyeuxia quadriseta,The most widespread and variable Deyeuxia in Victoria usually occurring in poorly drained areas within a wide range of vegetation types but not in tall forests or highalpine situations,The most widespread and variable Deyeuxia in Victoria usually occurring in poorly drained areas within a wide range of vegetation types but not in tall forests or highalpine situations,NA,NA,forest widespread,forests widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia ramosa,Known from a few collections in the far east between Wingan Inlet and Mallacoota Usually associated with riparian vegetation sometimes entering lowland rainforest communities,Known from a few collections in the far east between Wingan Inlet and Mallacoota Usually associated with riparian vegetation sometimes entering lowland rainforest communities,NA,NA,rainforest,rainforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia rodwayi,Occurs principally in tall mountainforests of the east up to c 1200 m with western outliers in the Grampians Mt Cole Otways and Mt Macedon,Occurs principally in tall mountainforests of the east up to c 1200 m with western outliers in the Grampians Mt Cole Otways and Mt Macedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia scaberula,Rather common in elevated forests in eastern Victoria eg Murrungower headwaters of the Brodribb River Mt Ellery Mt Elizabeth Bonang and Gelantipy areas occasional in the lowlands eg Howe Range Wingan River lower Snowy River Wilsons Promontory and with isolated occurrences in the northeast Mt Buffalo Bogong Village area and in the Otway Range,Rather common in elevated forests in eastern Victoria eg Murrungower headwaters of the Brodribb River Mt Ellery Mt Elizabeth Bonang and Gelantipy areas occasional in the lowlands eg Howe Range Wingan River lower Snowy River Wilsons Promontory and with isolated occurrences in the northeast Mt Buffalo Bogong Village area and in the Otway Range,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia talariata,Also NSW high plateau country southeast of Bombala Rare known in Victoria from only a few sites on and near the Cobberas and the nearby Nunniong Plateau and at each site occurring in damp peaty Sphagnumrich heath,Also NSW high plateau country southeast of Bombala Rare known in Victoria from only a few sites on and near the Cobberas and the nearby Nunniong Plateau and at each site occurring in damp peaty Sphagnumrich heath,NA,NA,NA,NA,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Dianella amoena,Also occurs NSW and Largely confined to drier grassy woodland and grassland communities south of the Dividing Range and now much depleted through its range,Also occurs NSW and Largely confined to drier grassy woodland and grassland communities south of the Dividing Range and now much depleted through its range,NA,NA,grassland woodland,grassland woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella brevicaulis,Generally occurring on sandy soil chiefly near the coast sometimes on exposed dunes with inland occurrences in malleeheath communities in the Little Desert and on heavier soils in Themeda grassland west of Melbourne A collection from c 20 km south of Numurkah may also be referable to this variety but further confirmatory collections are required,Generally occurring on sandy soil chiefly near the coast sometimes on exposed sandduness with inland occurrences in malleeheath communities in the Little Desert and on heavier soils in Themeda grassland west of Melbourne A collection from c 20 km south of Numurkah may also be referable to this variety but further confirmatory collections are required,NA,NA,sanddunes grassland,sandduness grassland sandduness sanddunes,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Dianella caerulea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. caerulea,Also in Locally common in lowland and foothill forests and nearcoastal woodlands eastward from about Orbost,Also in Locally common in lowland and foothill forests and nearcoastal woodlands eastward from about Orbost,NA,NA,forest woodland,forests woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. producta,Known in Victoria mostly from far eastern lowland forests Mallacoota area and eastward but also reported from Mitchell River gorge area near Bairnsdale,Known in Victoria mostly from far eastern lowland forests Mallacoota area and eastward but also reported from Mitchell River gorge area near Bairnsdale,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella callicarpa,Occurs in grassland woodland and swampscrub mostly on clay soils derived from basalt but also on sandier soils Recorded from eg Grampians Hamilton and Portland areas,Occurs in grassland woodland and swampscrub mostly on clay soils derived from basalt but also on sandier soils Recorded from eg Grampians Hamilton and Portland areas,NA,NA,grassland swamp woodland,grassland swamps woodland,NA,NA,NA,NA,clay,clay,NA,NA,basalt,basalt
Dianella longifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella longifolia var. grandis,NSW and SA Occurs in lowland plains grassland and grassy woodlands eg Volcanic Plain and Riverina as well as around rocky outcrops at higher altitudes than the var longifolia eg between Swifts Creek and Omeo BenambraCorryong district Don River near Launching Place Overall rather rare in the State,NSW and SA Occurs in lowland plains grassland and grassy woodlands eg Volcanic Plain and Riverina as well as around rocky outcrops at higher altitudes than the var longifolia eg between Swifts Creek and Omeo BenambraCorryong district Don River near Launching Place Overall rather rare in the State,rare,rare,grassland plains rocky_outcrop woodland,grassland plains outcrops woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella longifolia var. longifolia,As currently circumscribed occurs also Occurs through a wide range of habitats but typically low open forest and woodlands,As currently circumscribed occurs also Occurs through a wide range of habitats but typically low open forest and woodlands,NA,NA,forest woodland,forest woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella porracea,Largely confined to the northwest mostly near the Murray River and rather rare inhabiting sandy soils and silty alluvium eg Lake Arawak near Hattah Lake Powell near Robinvale Wood Wood on the Murray River with outlying scattered occurrences in the Quambatook area,Largely confined to the northwest mostly near the Murray River and rather rare inhabiting sandy soils and silty alluvium eg Lake Arawak near Hattah Lake Powell near Robinvale Wood Wood on the Murray River with outlying scattered occurrences in the Quambatook area,rare,rare,NA,NA,NA,NA,NA,NA,sand silt,sandy silty,NA,NA,NA,NA
Dianella revoluta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella revoluta var. revoluta,As currently circumscribed occurs in all States but not NT Occurs through a very wide range of vegetation types and from sea level to the subalps and from mallee to mountain forests,As currently circumscribed occurs in all States but not NT Occurs through a very wide range of vegetation types and from sea level to the subalps and from mallee to mountain forests,NA,NA,forest mallee subalpine,forests mallee subalps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. aff. caerulea (West Gippsland),Moist lowland to foothill forests south of the Divide from Mt Disappointment east to the NSW border egKinglake Dandenong Ranges Bunyip Wilsons Promontory Valencia Ck Orbost area,Moist lowland to foothill forests south of the Divide from Mt Disappointment east to the NSW border egKinglake Dandenong Ranges Bunyip Wilsons Promontory Valencia Ck Orbost area,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. aff. tasmanica (Snowfields),Also occurs in NSW and ACT Largely restricted to the higher subalps of northeastern Victoria eg Mt Buffalo Falls Ck Dargo High Plains where locally common in Eucalyptus pauciflora woodlands and sometimes extending to above treeline often in rocky sites A population at lower elevation is known from Little River Gorge near Wulgulmerang in the far east,Also occurs in NSW and ACT Largely restricted to the higher subalps of northeastern Victoria eg Mt Buffalo Falls Ck Dargo High Plains where locally common in Eucalyptus pauciflora woodlands and sometimes extending to above treeline often in rockysites A population at lower elevation is known from Little River Gorge near Wulgulmerang in the far east,NA,NA,rocky subalpine woodland,rockysites subalps woodlands,NA,NA,NA,NA,rocky,rockysites,NA,NA,NA,NA
Dianella tarda,Occurs also NSW Open often grassy forests of foothills and plains of northeastern and northcentral Victoria eg Mansfield Euroa Chiltern Nagambie Nathalia areas Often on lower slopes or near gullies and watercourses usually on clay or clayloam soils,Occurs also NSW Open often grassy forests of foothills and plains of northeastern and northcentral Victoria eg Mansfield Euroa Chiltern Nagambie Nathalia areas Often on lower slopes or near gullies and watercourses usually on clay or clayloam soils,NA,NA,forest plains,forests plains,gullies slopes watercourses,gullies slopes watercourses,NA,NA,loam_clayey clay,clayloam clay,NA,NA,NA,NA
Dianella tasmanica,A frequent component of moist shaded usually elevated forests throughout the State Also common amongst rocks in some sheltered situations away from tall forest eg Stony Rises area near Camperdown,A frequent component of moist shaded usually elevated forests throughout the State Also common amongst rocks in some sheltered situations away from tall forest eg Stony Rises area near Camperdown,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianthus armeria,Native to Europe southwestern Asia Scattered in the northeast Bogong High Plains Omeo Glen Valley areas with older collections from Erica and Melbourne suburbs Mostly on disturbed ground eg track margins dam walls etc in at least seasonally damp sites,Native to Europe southwestern Asia Scattered in the northeast Bogong High Plains Omeo Glen Valley areas with older collections from Erica and Melbourne suburbs Mostly on disturbed ground eg track margins dam walls etc in at least seasonally damp sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicentra formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicentra formosa subsp. formosa 'Alba',Native to western North America grown as an ornamental sparingly established in Victoria,Native to western North America grown as an ornamental sparingly established in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthium sericeum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthium sericeum subsp. sericeum,All States except Of restricted occurrence but locally common in drier grasslands and open woodlands eg northern plains and rainshadow areas between Bacchus Marsh and Melbourne and the upper Snowy River catchment in the east,All States except Of restricted occurrence but locally common in drier grasslands and open woodlands eg northern plains and rainshadow areas between Bacchus Marsh and Melbourne and the upper Snowy River catchment in the east,NA,NA,grassland grasslands plains woodland,grasslands grasslands plains woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne crinita,All states except Widespread occurring on a wide variety of substrates almost throughout the State particularly common near the coast and on the volcanic plain,All states except Widespread occurring on a wide variety of substrates almost throughout the State particularly common near the coast and on the volcanic plain,NA,NA,NA,NA,NA,NA,NA,NA,volcanic,volcanic,NA,NA,NA,NA
Dichelachne hirtella,Scattered in drier often rocky country from the northern Grampians in the west to central Gippsland Macalister River catchment in the east extending north to the NSW border in the WalwaCorryong area,Scattered in drier often rocky country from the northern Grampians in the west to central Gippsland Macalister River catchment in the east extending north to the NSW border in the WalwaCorryong area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne inaequiglumis,New Zealand Apparently confined to cool montane areas eg near Mt Wellington Brodribb River catchment Benambra Playgrounds near the Cobberas,New Zealand Apparently confined to cool montane areas eg near Mt Wellington Brodribb River catchment Benambra Playgrounds near the Cobberas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
