Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution,Species,In,In cultivation,By experiment,
Grevillea leptopoda,low_susceptibility,Grevillea leptopoda,Grevillea leptopoda,Proteaceae,WA,Calytrix tenuiramea,40,,,FR40
Grevillea lissopleura,low_susceptibility,Grevillea lissopleura,Grevillea lissopleura,Proteaceae,WA,Calytrix tetragona,"17,25,29,34",3,,"S43,SV60"
Grevillea lullfitzii,low_susceptibility,Grevillea lullfitzii,Grevillea lullfitzii,Proteaceae,WA,Chamelaucium ciliatum,,3,,
Grevillea makinsonii,low_susceptibility,Grevillea makinsonii,Grevillea makinsonii,Proteaceae,WA,Chamelaucium erythrochlora,,,,S52
Grevillea manglesioides subsp. papillosa,low_susceptibility,Grevillea papillosa,Grevillea papillosa,Proteaceae,WA,Chamelaucium griffinii ,,,,S52
Grevillea marriottii,low_susceptibility,Grevillea marriottii,Grevillea marriottii,Proteaceae,WA,Chamelaucium roycei,,,,S52
Grevillea maxwellii E,low_susceptibility,Grevillea maxwellii,Grevillea maxwellii,Proteaceae,WA,Corymbia calophylla,,,21,"FR24,50,53"
Grevillea microstegia,low_susceptibility,Grevillea microstegia,Grevillea microstegia,Proteaceae,Vic,Corymbia ficifolia,,,,FR50
Grevillea miniata,low_susceptibility,Grevillea miniata,Grevillea miniata,Proteaceae,"WA, NT",Corymbia gummifera,2,,,SV42
Grevillea minutiflora,low_susceptibility,Grevillea minutiflora,Grevillea minutiflora,Proteaceae,WA,Corymbia maculata,,,31,FR22
Grevillea murex E,low_susceptibility,Grevillea murex,Grevillea murex,Proteaceae,WA,Corymbia tesellaris,,,31,
Grevillea nana subsp. abbreviata,low_susceptibility,Grevillea nana subsp. abbreviata,Grevillea nana subsp. abbreviata,Proteaceae,WA,Darwinia citriodora,,,,FR50
Grevillea olivacea,low_susceptibility,Grevillea olivacea,Grevillea olivacea,Proteaceae,WA,Darwinia collina E,58,,,"MS58,S49,52"
Grevillea phanerophlebia,low_susceptibility,Grevillea phanerophlebia,Grevillea phanerophlebia,Proteaceae,WA,Darwinia hypericifolia,,,,LS-MS58
Grevillea phillipsiana,low_susceptibility,Grevillea phillipsiana,Grevillea phillipsiana,Proteaceae,WA,Darwinia leiostyla,,,,"FR40,LS-MS58"
Grevillea pilosa subsp. dissecta,low_susceptibility,Grevillea neodissecta,Grevillea neodissecta,Proteaceae,WA,Darwinia macrostegia ,,,,S49
Grevillea pimeleoides,low_susceptibility,Grevillea pimeleoides,Grevillea pimeleoides,Proteaceae,WA,Darwinia meeboldii ,,,,"S49,52"
Grevillea prostrata,low_susceptibility,Grevillea prostrata,Grevillea prostrata,Proteaceae,WA,Darwinia oxylepis E,,,,"HS58,S46,52"
Grevillea psilantha,low_susceptibility,Grevillea psilantha,Grevillea psilantha,Proteaceae,WA,Darwinia squarrosa V,,,,"LS59,MS58,S46"
Grevillea rogersoniana,low_susceptibility,Grevillea rogersoniana,Grevillea rogersoniana,Proteaceae,WA,Darwinia vestita,,,,FR40
Grevillea rosieri,low_susceptibility,Grevillea rosieri,Grevillea rosieri,Proteaceae,WA,Darwinia wittwerorum E,58,,,"MS58,S46"
Grevillea roycei,low_susceptibility,Grevillea roycei,Grevillea roycei,Proteaceae,WA,Darwinia sp. Stirling Range V,,,,MS58
Grevillea rudis,low_susceptibility,Grevillea rudis,Grevillea rudis,Proteaceae,WA,Eremaea pauciflora s.l.,37,3,,
Grevillea scabra,low_susceptibility,Grevillea scabra,Grevillea scabra,Proteaceae,WA,Eucalyptus accedens,,,,FR50
Grevillea scabrida,low_susceptibility,Grevillea scabrida,Grevillea scabrida,Proteaceae,WA,Eucalyptus acmenoides,2,,,
Grevillea scapigera E,low_susceptibility,Grevillea scapigera,Grevillea scapigera,Proteaceae,WA,Eucalyptus amygdalina,"2,17",,,FR60
Grevillea secunda,low_susceptibility,Grevillea secunda,Grevillea secunda,Proteaceae,WA,Eucalyptus andrewsii s.l.,,,31,
Grevillea spinosissima,low_susceptibility,Grevillea spinosissima,Grevillea spinosissima,Proteaceae,WA,Eucalyptus angulosa,,,,FR40
Grevillea stenostachya,low_susceptibility,Grevillea stenostachya,Grevillea stenostachya,Proteaceae,WA,Eucalyptus aromaphloia,25,,,S43
Grevillea subtiliflora,low_susceptibility,Grevillea subtiliflora,Grevillea subtiliflora,Proteaceae,WA,Eucalyptus astringens,,,,FR50
Grevillea tenuiloba,low_susceptibility,Grevillea tenuiloba,Grevillea tenuiloba,Proteaceae,WA,Eucalyptus baxteri,"2,4,18,2529",3,31,S43
Grevillea tetrapleura,low_susceptibility,Grevillea tetrapleura,Grevillea tetrapleura,Proteaceae,WA,Eucalyptus botryoides,,,31,
Grevillea thelemanniana,low_susceptibility,Grevillea thelemanniana,Grevillea thelemanniana,Proteaceae,WA,Eucalyptus buprestium,,,,FR40
Grevillea triloba,low_susceptibility,Grevillea triloba,Grevillea triloba,Proteaceae,WA,Eucalyptus camaldulensis,,,31,FR50
Grevillea wittweri,low_susceptibility,Grevillea wittweri,Grevillea wittweri,Proteaceae,WA,Eucalyptus cladocalyx,,,31,
Hakea aculeata V,low_susceptibility,Hakea aculeata,Hakea aculeata,Proteaceae,WA,Eucalyptus cloeziana,,,31,
Hakea bicornata,low_susceptibility,Hakea bicornata,Hakea bicornata,Proteaceae,WA,Eucalyptus coccifera,17,,,FR60
Hakea crassinervia,low_susceptibility,Hakea petiolaris subsp. petiolaris,Hakea petiolaris subsp. petiolaris,Proteaceae,"WA, Vic (doubtfully naturalised)",Eucalyptus conferruminata,,,,FR50
Hakea laurina,low_susceptibility,Hakea laurina,Hakea laurina,Proteaceae,"WA, SA (naturalised), Tas (formerly naturalised)",Eucalyptus consideniana,25,,,S43
Hakea longiflora,low_susceptibility,Hakea longiflora,Hakea longiflora,Proteaceae,WA,Eucalyptus cordata,17,,,FR60
Hakea megalosperma V,low_susceptibility,Hakea megalosperma,Hakea megalosperma,Proteaceae,WA,Eucalyptus dalrympleana s.l.,,,31,FR60
Hakea myrtoides,low_susceptibility,Hakea myrtoides,Hakea myrtoides,Proteaceae,WA,Eucalyptus decipiens s.l.,,,,LS40
Hakea neurophylla,low_susceptibility,Hakea neurophylla,Hakea neurophylla,Proteaceae,WA,Eucalyptus decurva,,,,FR40
Hakea pendens,low_susceptibility,Hakea pendens,Hakea pendens,Proteaceae,WA,Eucalyptus delegatensis,"8,17,25",,,"S43,FR60"
Hakea rigida,low_susceptibility,Hakea rigida,Hakea rigida,Proteaceae,WA,Eucalyptus diversicolor,2,,,
Hakea rubrifolia,low_susceptibility,Hakea ruscifolia,Hakea ruscifolia,Proteaceae,WA,Eucalyptus dives,"2,25",,,S43
Hakea spathulata,low_susceptibility,Hakea neospathulata,Hakea neospathulata,Proteaceae,WA,Eucalyptus doratoxylon,,,,FR59
Hakea tuberculata,low_susceptibility,Hakea tuberculata,Hakea tuberculata,Proteaceae,WA,Eucalyptus erectifolia,,,,FR59
Lambertia rariflora s.l.,low_susceptibility,Lambertia rariflora,Lambertia rariflora,Proteaceae,WA,Eucalyptus eugenioides,2,,,
Persoonia baeckeoides,low_susceptibility,Persoonia baeckeoides,Persoonia baeckeoides,Proteaceae,WA,Eucalyptus falcata,,,,FR40
Persoonia brachystylis,low_susceptibility,Persoonia brachystylis,Persoonia brachystylis,Proteaceae,WA,Eucalyptus fastigata,25,27,,"S43,HS27"
Persoonia brevirhachis,low_susceptibility,Persoonia brevirhachis,Persoonia brevirhachis,Proteaceae,WA,Eucalyptus fibrosa s.l.,,,31,
Persoonia chapmaniana,low_susceptibility,Persoonia chapmaniana,Persoonia chapmaniana,Proteaceae,WA,Eucalyptus forrestiana,,,,FR50
Persoonia hakeiformis,low_susceptibility,Persoonia hakeiformis,Persoonia hakeiformis,Proteaceae,WA,Eucalyptus fraxionoides,,27,,HS27
Persoonia kararae,low_susceptibility,Persoonia kararae,Persoonia kararae,Proteaceae,WA,Eucalyptus gardneri,,,,FR50
Persoonia leucopogon,low_susceptibility,Persoonia leucopogon,Persoonia leucopogon,Proteaceae,WA,Eucalyptus globoidea,"2,25",,,S43
Persoonia microcarpa,low_susceptibility,Acidonia microcarpa,Acidonia microcarpa,Proteaceae,WA,Eucalyptus globulus s.l.,2,,31,FR60
Persoonia papillosa,low_susceptibility,Persoonia papillosa,Persoonia papillosa,Proteaceae,WA,Eucalyptus gomphocephala,,,,FR50
Persoonia rudis,low_susceptibility,Persoonia rudis,Persoonia rudis,Proteaceae,WA,Eucalyptus goniocalyx,,,31,
Persoonia scabra,low_susceptibility,Persoonia scabra,Persoonia scabra,Proteaceae,WA,Eucalyptus grandis,2,,,
Persoonia sulcata,low_susceptibility,Persoonia sulcata,Persoonia sulcata,Proteaceae,WA,Eucalyptus imlayensis E,,,,?HS22
Cryptandra pumila,low_susceptibility,Stenanthemum pumilum,Stenanthemum pumilum,Rhamnaceae,WA,Eucalyptus krusana,,,,FR50
Leucopogon lasiostachyus,low_susceptibility,Leucopogon lasiostachyus,Leucopogon lasiostachyus,Ericaceae,WA,Eucalyptus laeliae,,,,FR50
Agonis parviceps,low_susceptibility,Taxandria parviceps,Taxandria parviceps,Myrtaceae,"WA, Vic (naturalised)",Eucalyptus lehmanniii,,,,FR56
Agonis spathulata,low_susceptibility,Taxandria spathulata,Taxandria spathulata,Myrtaceae,WA,Eucalyptus ligulata subsp. stirlingica,,,,LS58
Beaufortia decussata,low_susceptibility,Beaufortia decussata,Beaufortia decussata,Myrtaceae,WA,Eucalyptus macrorhyncha,"2,4,25,29",,,S43
Calothamnus crassus,low_susceptibility,Calothamnus lateralis var. crassus [alternative possible names: Calothamnus montanus (pro parte misapplied)],Calothamnus lateralis var. crassus,Myrtaceae,WA,Eucalyptus mannifera,2,,,
Eucalyptus staeri,low_susceptibility,Eucalyptus staeri,Eucalyptus staeri,Myrtaceae,WA,Eucalyptus marginata,"2,14,15, 24","46,53",31,"S46,53,MS24 LS40,59"
Kunzea montana,low_susceptibility,Kunzea montana,Kunzea montana,Myrtaceae,WA,Eucalyptus megacarpa,,,,FR50
Hakea ceratophylla,low_susceptibility,Hakea ceratophylla,Hakea ceratophylla,Proteaceae,WA,Eucalyptus niphophila,,3,,
Hakea varia,low_susceptibility,Hakea varia,Hakea varia,Proteaceae,WA,Eucalyptus nitens,"8,25",,,"S43,LS60"
Hakea victoria,low_susceptibility,Hakea victoria,Hakea victoria,Proteaceae,WA,Eucalyptus nitida,17,,,FR60
Hibbertia commutata,low_susceptibility highly_susceptible,Hibbertia commutata [alternative possible names: Hibbertia pilosa (pro parte misapplied)],Hibbertia commutata,Dilleniaceae,WA,Eucalyptus oblique,"2,17,18, 19,25,29",,31,"S43,LS60"
Leucopogon parviflorus,low_susceptibility susceptible_but_degree_unknown,Leucopogon parviflorus,Leucopogon parviflorus,Ericaceae,"WA, SA, Qld, NSW, LHI, Vic, Tas",Eucalyptus occidentalis,,,,FR50
Darwinia squarrosa V,low_susceptibility moderately_susceptible susceptible_but_degree_unknown,Darwinia squarrosa,Darwinia squarrosa,Myrtaceae,WA,Eucalyptus ovata s.l.,17,,,FR60
Isopogon attenuatus,low_susceptibility susceptible_but_degree_unknown,Isopogon attenuatus,Isopogon attenuatus,Proteaceae,WA,Eucalyptus pachyloma,,,,FR40
Darwinia hypericifolia,low_susceptibility moderately_susceptible,Darwinia hypericifolia,Darwinia hypericifolia,Myrtaceae,WA,Eucalyptus paniculata,,,31,
Verticordia carinata V,low_susceptibility moderately_susceptible,Verticordia carinata,Verticordia carinata,Myrtaceae,WA,Eucalyptus patens,,,,FR50
Olearia pannosa s.l.,moderately_susceptible,Olearia pannosa,Olearia pannosa,Asteraceae,"SA, Vic",Eucalyptus pauciflora s.l.,25,,31,FR22
Allocasuarina crassa,moderately_susceptible,Allocasuarina crassa,Allocasuarina crassa,Casuarinaceae,Tas,Eucalyptus pilularis,2,,31,
Allocasuarina fibrosa V,moderately_susceptible,Allocasuarina fibrosa,Allocasuarina fibrosa,Casuarinaceae,WA,Eucalyptus piperita s.l.,2,,,
Allocasuarina grevilleoides,moderately_susceptible,Allocasuarina grevilleoides,Allocasuarina grevilleoides,Casuarinaceae,WA,Eucalyptus polyanthemos,3,,,
Allocasuarina ramosissima,moderately_susceptible,Allocasuarina ramosissima,Allocasuarina ramosissima,Casuarinaceae,WA,Eucalyptus preissiana,,,,FR40
Allocasuarina tessellata,moderately_susceptible,Allocasuarina tessellata,Allocasuarina tessellata,Casuarinaceae,WA,Eucalyptus pulchella,17,,,FR60
Allocasuarina tortiramula,moderately_susceptible,Allocasuarina tortiramula,Allocasuarina tortiramula,Casuarinaceae,WA,Eucalyptus racemosa s.l.,,,31,
Elaeocarpus holopetalus,moderately_susceptible,Elaeocarpus holopetalus,Elaeocarpus holopetalus,Elaeocarpaceae,"NSW, Vic",Eucalyptus radiata,"2,4,25",,31,S43
Cosmelia rubra,moderately_susceptible,Cosmelia rubra,Cosmelia rubra,Ericaceae,WA,Eucalyptus regnans,"2,25",,,"S43,FR60"
Epacris exserta E,moderately_susceptible,Epacris exserta,Epacris exserta,Ericaceae,Tas,Eucalyptus rossii,2,,,
Epacris glabella E,moderately_susceptible,Epacris glabella,Epacris glabella,Ericaceae,Tas,Eucalyptus rudis,,,,FR50
Epacris stuartii CE,moderately_susceptible,Epacris stuartii,Epacris stuartii,Ericaceae,Tas,Eucalyptus saligna,2,,,
Leucopogon corifolius,moderately_susceptible,Leucopogon reflexus,Leucopogon reflexus,Ericaceae,WA,Eucalyptus sieberi,"2,17,25",,31,"S43,LS60"
Leucopogon cymbiformis,moderately_susceptible,Styphelia cymbiformis,Styphelia cymbiformis,Ericaceae,WA,Eucalyptus smithii,,27,,HS27
Leucopogon esquamatus,moderately_susceptible,Styphelia esquamata,Styphelia esquamata,Ericaceae,"NSW, Vic, Tas",Eucalyptus spathulata,,,,FR50
Lysinema conspicuum,moderately_susceptible,Lysinema conspicuum,Lysinema conspicuum,Ericaceae,WA,Eucalyptus staeri,,,,"LS40,59"
Lysinema elegans,moderately_susceptible,Lysinema elegans,Lysinema elegans,Ericaceae,WA,Eucalyptus talyuberlup,,,,FR59
Chorizema carinatum,moderately_susceptible,Chorizema carinatum,Chorizema carinatum,Fabaceae,WA,Eucalyptus tenuiramis,17,3,,
Daviesia bursarioides E,moderately_susceptible,Daviesia bursarioides,Daviesia bursarioides,Fabaceae,WA,Eucalyptus todtiana,,"37,53",,"S37,53"
Daviesia chapmanii,moderately_susceptible,Daviesia chapmanii,Daviesia chapmanii,Fabaceae,WA,Eucalyptus uncinata,,,,FR40
Daviesia debilior subsp. sinuans,moderately_susceptible,Daviesia debilior subsp. sinuans,Daviesia debilior subsp. sinuans,Fabaceae,WA,Eucalyptus viminalis,"2,25",,31,FR60
Daviesia dielsii,moderately_susceptible,Daviesia dielsii,Daviesia dielsii,Fabaceae,WA,Eucalyptus wandoo,,,,FR50
Daviesia epiphyllum,moderately_susceptible,Daviesia epiphyllum,Daviesia epiphyllum,Fabaceae,WA,Eucalyptus willisii s.l.,25,,,S43
Daviesia euphorbioides E,moderately_susceptible,Daviesia euphorbioides,Daviesia euphorbioides,Fabaceae,WA,Homalospermum firmum,,,,FR59
Daviesia lineata,moderately_susceptible,Daviesia lineata,Daviesia lineata,Fabaceae,WA,Hypocalymma angustifolium s.l.,"15,28,24",3,,"FR21,24"
Daviesia oxylobium,moderately_susceptible,Daviesia oxylobium,Daviesia oxylobium,Fabaceae,WA,Hypocalymma cordifolium s.l.,15,,,
Daviesia pteroclada,moderately_susceptible,Daviesia pteroclada,Daviesia pteroclada,Fabaceae,WA,Hypocalymma myrtifolium,,,,"FR40,59"
Daviesia speciosa E,moderately_susceptible,Daviesia speciosa,Daviesia speciosa,Fabaceae,WA,Hypocalymma phillipsii,,,,FR59
Daviesia spiralis,moderately_susceptible,Daviesia spiralis,Daviesia spiralis,Fabaceae,WA,Hypocalymma robustum,"14,15,24",,,"S24,37,46"
Gastrolobium tetragonophyllum,moderately_susceptible,Gastrolobium tetragonophyllum,Gastrolobium tetragonophyllum,Fabaceae,WA,Hypocalymma speciosum,,,,FR40
Hovea corrickiae,moderately_susceptible,Hovea corrickiae,Hovea corrickiae,Fabaceae,"Vic, Tas",Hypocalymma strictum s.l.,,,,HS40
Jacksonia carduacea,moderately_susceptible,Jacksonia carduacea,Jacksonia carduacea,Fabaceae,WA,Kunzea ericifolia,"14,24",3,,
Jacksonia grevilleoides,moderately_susceptible,Jacksonia grevilleoides,Jacksonia grevilleoides,Fabaceae,WA,Kunzea montana,58,,,"LS58,59"
Jacksonia sericea,moderately_susceptible,Jacksonia sericea,Jacksonia sericea,Fabaceae,WA,Kunzea parvifolia,25,,,
Jacksonia sp. aff. furcelata,moderately_susceptible,Jacksonia sp. [Jacksonia sp. aff. furcelata],,Fabaceae,,Kunzea pomifera,,3,,
Sphaerolobium acanthos,moderately_susceptible,Sphaerolobium acanthos,Sphaerolobium acanthos,Fabaceae,Vic,Kunzea preissiana,,,,FR40
Acacia axillaris V,moderately_susceptible,Acacia axillaris,Acacia axillaris,Fabaceae,Tas,Kunzea recurva s.l.,,3,,MS40
Acacia siculiformis,moderately_susceptible,Acacia siculiformis,Acacia siculiformis,Fabaceae,"NSW, ACT, Vic, Tas",Kunzea sulphurea,,,,S46
Beaufortia micrantha,moderately_susceptible,Beaufortia micrantha,Beaufortia micrantha,Myrtaceae,WA,Leptospermum continentale,25,,,S43
Darwinia sp. Stirling Range V,moderately_susceptible,Darwinia nubigena,Darwinia nubigena,Myrtaceae,WA,Leptospermum coriaceum,,3,,
Kunzea recurva s.l.,moderately_susceptible,Kunzea recurva,Kunzea recurva,Myrtaceae,WA,Leptospermum ellipticum,15,,,
Melaleuca thymoides,moderately_susceptible,Melaleuca thymoides,Melaleuca thymoides,Myrtaceae,WA,Leptospermum erubescens,,,,FR40
Thryptomene calycina,moderately_susceptible,Thryptomene calycina,Thryptomene calycina,Myrtaceae,"SA (presumed extinct), Vic",Leptospermum glaucescens,"17,34",,,"HS34, VS or MS60"
Banksia gardneri var. brevidentata,moderately_susceptible,Banksia gardneri var. brevidentata,Banksia gardneri var. brevidentata,Proteaceae,WA,Leptospermum juniperinum,"13,18,19",3,,
Banksia gardneri var. gardneri,moderately_susceptible,Banksia gardneri var. gardneri,Banksia gardneri var. gardneri,Proteaceae,WA,Leptospermum lanigerum,3,,,
Banksia repens,moderately_susceptible,Banksia repens,Banksia repens,Proteaceae,WA,Leptospermum myrsinoides,"4,25",,,S43
Conospermum caeruleum s.l.,moderately_susceptible,Conospermum caeruleum,Conospermum caeruleum,Proteaceae,WA,Leptospermum scoparium,"8,17",,,FR22
Conospermum coerulescens subsp. dorrienii,moderately_susceptible,Conospermum coerulescens subsp. dorrienii,Conospermum coerulescens subsp. dorrienii,Proteaceae,WA,Leptospermum trinervium,,,,LS42
Conospermum hookeri,moderately_susceptible,Conospermum hookeri,Conospermum hookeri,Proteaceae,Tas,Lophostemon confertus,2,,,
Dryandra calophylla,moderately_susceptible,Banksia calophylla,Banksia calophylla,Proteaceae,WA,Melaleuca cuticularis,,,,FR40
Dryandra cirsioides,moderately_susceptible,Banksia cirsioides,Banksia cirsioides,Proteaceae,WA,Melaleuca diosmifolia,,,,FR50
Dryandra polycephala,moderately_susceptible,Banksia polycephala,Banksia polycephala,Proteaceae,WA,Melaleuca elliptica,,3,,
Franklandia fucifolia,moderately_susceptible,Franklandia fucifolia,Franklandia fucifolia,Proteaceae,WA,Melaleuca gibbosa,17,,,
Grevillea confertifolia,moderately_susceptible,Grevillea confertifolia,Grevillea confertifolia,Proteaceae,Vic,Melaleuca holosericea,,,,FR56
Grevillea pieroniae,moderately_susceptible,Grevillea pieroniae,,Proteaceae,,Melaleuca incana,,3,,
Grevillea tripartita,moderately_susceptible,Grevillea tripartita,Grevillea tripartita,Proteaceae,WA,Melaleuca lanceolata,,,,FR50
Hakea elliptica,moderately_susceptible,Hakea elliptica,Hakea elliptica,Proteaceae,"WA, Vic (doubtfully naturalised)",Melaleuca laxiflora,,,,FR53
Hakea lasiantha,moderately_susceptible,Hakea lasiantha,Hakea lasiantha,Proteaceae,WA,Melaleuca macronychia,,3,,FR50
Hakea lasiocarpha,moderately_susceptible,Hakea lasiocarpha [alternative possible names: Hakea varia (pro parte misapplied)],Hakea lasiocarpha,Proteaceae,WA,Melaleuca microphylla,,,,FR59
Hakea lehmanniana,moderately_susceptible,Hakea lehmanniana,Hakea lehmanniana,Proteaceae,WA,Melaleuca nesophila,,,,FR50
Isopogon heterophyllus,moderately_susceptible,Isopogon formosus subsp. formosus,Isopogon formosus subsp. formosus,Proteaceae,WA,Melaleuca pentagona s.l.,,3,,FR50
Isopogon scabriusculus,moderately_susceptible,Isopogon scabriusculus,Isopogon scabriusculus,Proteaceae,WA,Melaleuca pritzellii,,,,LS58
Isopogon teretifolius var. petrophiloides,moderately_susceptible,Isopogon teretifolius,Isopogon teretifolius,Proteaceae,WA,Melaleuca pulchella,,,,FR50
Isopogon tripartitus,moderately_susceptible,Isopogon trilobus,Isopogon trilobus,Proteaceae,WA,Melaleuca scabra,37,,,"S37,46"
Persoonia trinervis,moderately_susceptible,Persoonia trinervis,Persoonia trinervis,Proteaceae,WA,Melaleuca seriata,,,,FR40
Petrophile biternata,moderately_susceptible,Petrophile biternata,Petrophile biternata,Proteaceae,WA,Melaleuca spathulata,,,,FR50
Petrophile crispata,moderately_susceptible,Petrophile crispata,Petrophile crispata,Proteaceae,WA,Melaleuca squamea,"17,34",3,33,HS34
Petrophile incurvata,moderately_susceptible,Petrophile incurvata,Petrophile incurvata,Proteaceae,WA,Melaleuca squarrosa,"17,25",,,"S43,FR21"
Petrophile plumosa,moderately_susceptible,Petrophile plumosa,Petrophile plumosa,Proteaceae,WA,Melaleuca suberosa,,,,FR40
Petrophile seminuda,moderately_susceptible,Petrophile seminuda,Petrophile seminuda,Proteaceae,WA,Melaleuca subfalcata ,,,,S40
Stirlingia tenuifolia var. anethifolia,moderately_susceptible,Stirlingia anethifolia,Stirlingia anethifolia,Proteaceae,WA,Melaleuca thymoides,"14,24",,,MS59
Stirlingia tenuifolia var. tenuifolia,moderately_susceptible,Stirlingia tenuifolia,Stirlingia tenuifolia,Proteaceae,WA,Melaleuca uncinata,,3,,
Restio laxocarya,moderately_susceptible,Loxocarya cinerea,Loxocarya cinerea,Restionaceae,WA,Melaleuca violacea,,,,FR50
Leionema ralstonii V,moderately_susceptible,Leionema ralstonii,Leionema ralstonii,Rutaceae,NSW,Pericalymma ellipticum,"14,24","37,53",,"S37,53"
Stylidium graminifolium s. l.,moderately_susceptible,Stylidium graminifolium [alternative possible names: Stylidium armeria (pro parte misapplied) | Stylidium montanum (pro parte misapplied) | Stylidium armeria (misapplied) | Stylidium montanum (misapplied)],Stylidium graminifolium,Stylidiaceae,"SA, Qld, NSW, ACT, Vic, Tas",Phymatocarpus maxwellii,,3,,
Pimelea rosea,moderately_susceptible,Pimelea rosea,Pimelea rosea,Thymelaeaceae,WA,Regelia inops,,3,,LS40
Tetratheca gunnii CE,moderately_susceptible,Tetratheca gunnii,Tetratheca gunnii,Elaeocarpaceae,Tas,Rhodamnia blairiana,,,,S36 FR36
Gastrolobium rubrum,moderately_susceptible,Gastrolobium rubrum,Gastrolobium rubrum,Fabaceae,WA,Rhodamnia sessiliflora,,,,FR36
Agonis hypericifolia,moderately_susceptible,Leptospermum hypericifolium,,Myrtaceae,,Scholtzia involucrata,37,,,S46
Banksia micrantha,moderately_susceptible,Banksia micrantha,Banksia micrantha,Proteaceae,WA,Syzygium cormiflorum,,,,FR36
Dryandra hirsuta,moderately_susceptible,Banksia hirta,Banksia hirta,Proteaceae,WA,Syzygium erythrodoxum,,,16,
Hakea ambigua,moderately_susceptible,Hakea ambigua,Hakea ambigua,Proteaceae,WA,Syzygium kuranda,,,,S36
Hakea crassifolia,moderately_susceptible,Hakea pandanicarpa subsp. crassifolia,Hakea pandanicarpa subsp. crassifolia,Proteaceae,WA,Syzygium johnsonii,,,,FR36
Leucopogon lasiophyllus,moderately_susceptible highly_susceptible,Leucopogon lasiophyllus,Leucopogon lasiophyllus,Ericaceae,WA,Syzygium wesa,,,16,FR36
Banksia solandri,moderately_susceptible highly_susceptible,Banksia solandri,Banksia solandri,Proteaceae,WA,Thryptomene calycina,2,44,,MS44
Aotus genistoides,moderately_susceptible susceptible_but_degree_unknown,Aotus genistoides,Aotus genistoides,Fabaceae,WA,Thryptomene micrantha,34,,,HS60
Darwinia wittwerorum E,moderately_susceptible susceptible_but_degree_unknown,Darwinia wittwerorum,Darwinia wittwerorum,Myrtaceae,WA,Thryptomene saxicola,,,,S37
Banksia aculeata,moderately_susceptible susceptible_but_degree_unknown,Banksia aculeata,Banksia aculeata,Proteaceae,WA,Verticordia carinata V,58,,,LS-MS58
Darwinia collina E,moderately_susceptible susceptible_but_degree_unknown,Darwinia collina,Darwinia collina,Myrtaceae,WA,Verticordia chrysantha,,3,,
Daviesia pseudaphylla E,moderately_susceptible susceptible_but_degree_unknown low_susceptibility,Daviesia pseudaphylla,Daviesia pseudaphylla,Fabaceae,WA,Verticordia densiflora,"14,37, 49,53",,,"S37,49,53"
Dryandra plumosa subsp. denticulata,moderately_susceptible highly_susceptible,Banksia plumosa subsp. denticulata,Banksia plumosa subsp. denticulata,Proteaceae,WA,Verticordia habrantha,,,,FR40
Thysanotus multiflorus,presumed_resistant,Thysanotus multiflorus,Thysanotus multiflorus,Asparagaceae,WA,Verticordia huegelii,14,,"37, 53","S37,53"
Thysanotus thyrsoides,presumed_resistant,Thysanotus thyrsoideus,Thysanotus thyrsoideus,Asparagaceae,WA,Verticordia nitens,37,,,"S37,46"
Trichocline spathulata,presumed_resistant,Trichocline spathulata,Trichocline spathulata,Asteraceae,WA,Verticordia plumosa,14,3,,
Labichea punctata,presumed_resistant,Labichea punctata,Labichea punctata,Fabaceae,WA,Waterhousia unipunctata,,,,FR36
Mesomelaena graciliceps,presumed_resistant,Mesomelaena graciliceps,Mesomelaena graciliceps,Cyperaceae,WA,Wehlia coarctata,,3,,
Hibbertia huegelii,presumed_resistant,Hibbertia huegelii,Hibbertia huegelii,Dilleniaceae,WA,Brackenridgea nitida subsp. australiana,16,,,FR36
Monotaxis occidentalis,presumed_resistant,Monotaxis occidentalis,Monotaxis occidentalis,Euphorbiaceae,WA,Olax benthamiana,,,,Q21
Chorizema rhombeum,presumed_resistant,Chorizema rhombeum,Chorizema rhombeum,Fabaceae,WA,Olax phyllanthi,,,,FR40
Scaevola calliptera,presumed_resistant,Scaevola calliptera,Scaevola calliptera,Goodeniaceae,WA,Chionanthus axillaris,,,,FR36
Patersonia babianoides,presumed_resistant,Patersonia babianoides,Patersonia babianoides,Iridaceae,WA,Caladenia flava,,,,"FR21,59"
Olax benthamiana,presumed_resistant,Olax benthamiana,Olax benthamiana,Olacaceae,WA,Cryptostylis ovata,,,,FR40
Amphipogon amphipogonoides,presumed_resistant,Amphipogon amphipogonoides,Amphipogon amphipogonoides,Poaceae,WA,Drakea confluens E,,,,FR58
Opercularia echinocephala,presumed_resistant,Opercularia echinocephala,Opercularia echinocephala,Rubiaceae,WA,Elythranthera brunonis,,,,"FR21,59"
Opercularia vaginata,presumed_resistant,Opercularia vaginata,Opercularia vaginata,Rubiaceae,WA,Eriochilus dilatatus,,,,FR40
Stylidium junceum,presumed_resistant,Stylidium junceum [alternative possible names: Stylidium hesperium (pro parte misapplied) | Stylidium hygrophilum (pro parte misapplied) | Stylidium laciniatum (pro parte misapplied) | Stylidium scariosum (pro parte misapplied) | Stylidium squamosotuberosum (pro parte misapplied) | Stylidium hesperium (misapplied) | Stylidium scariosum (misapplied)],Stylidium junceum,Stylidiaceae,WA,Leporella fimbriata,,,,FR40
