taxon_name,trait_name,trait_value,units,value_type,,,location,,,
Eucalyptus nutans ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,storage_organ,no_storage_organ,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,flowering_time,Nov-Apr,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,bark_colour,grey cream,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,bark_texture,strips_long,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,flower_colour,cream,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,extent_of_occurrence,16.5,ha,raw,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,geology,magnesite,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,topographic_position,slopes ridges,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,soil_type,loam_white_powdery,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,flowering_time,Nov,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Eucalyptus purpurata ,seed_bank_location,canopy_seedbank,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,stem_growth_habit,sprawling decumbent,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,plant_height,1,m,maximum,,,Fitzerald River National Park,,,
Grevillea infundibularis ,leaf_width,3,cm,mean,,,Fitzerald River National Park,,,
Grevillea infundibularis ,leaf_base_shape,clasping,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,leaf_shape,obtriangular hemispheric,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,leaf_margin,toothed_dentate,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,flower_colour,red,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,inflorescence_type,raceme_terminal,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,population_count,2,'{count}',raw,,,Fitzerald River National Park,,,
Grevillea infundibularis ,individual_count,5500,'{count}',mean,,,Fitzerald River National Park,,,
Grevillea infundibularis ,soil_type,sandy loamy,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,geology,quartzite,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,habitat,mallee_shrubland,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,flowering_time,all_year,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,phytophthora_cinnamomi_susceptibility,unknown,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Grevillea infundibularis ,reproductive_maturity,4,a,mean,,,Fitzerald River National Park,,,
Hibbertia abyssa ,stem_growth_habit,erect,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,plant_height,1.2,m,maximum,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,leaf_shape,linear subulate,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,leaf_margin_posture,revolute,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,leaf_apex_shape,pungent,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,plant_physical_defence_structures,pungent_leaf_apex,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,flower_colour,yellow,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,inflorescence_stalk_length,6,mm,minimum,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,inflorescence_stalk_length,14,mm,maximum,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,soil_type,red_brown_clay,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,habitat,mallee_shrubland,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,flowering_time,"Oct, Nov, Mar",,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,Hibbertia abyssus,,
Hibbertia abyssa ,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,topographic_position,rocky_outcrops,,,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,geology,Pallinup Siltstone and silica caprock over ultramafic rock,,,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,population_count,3,'{count}',raw,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,individual_count,171639,'{count}',mean,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,leaf_arrangement,spiral crowded,,,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,leaf_length,6,mm,minimum,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,leaf_length,11,mm,maximum,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,leaf_width,0.9,mm,minimum,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Hibbertia abyssa ,leaf_width,1.4,mm,maximum,,,Fitzerald River National Park,Hibbertia abyssus,,source: https://library.dbca.wa.gov.au/static/Journals/080548/080548-309.pdf
Kunzea similis subsp. mediterranea,stem_growth_habit,erect,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,flower_colour,pink,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,individual_count,350000,'{count}',mean,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,extent_of_occurrence,21.9,ha,raw,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,soil_type,grey_loamy_sand,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,geology,laterite,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,habitat,mallee_shrubland heath_dense,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,flowering_time,Sep-Nov,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,pollination_system,bees,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. mediterranea,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,stem_growth_habit,erect,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,flower_colour,pink,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,individual_count,3600,'{count}',mean,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,soil_type,sandy_clay red_loam,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,geology,quartzite,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,habitat,heath_low,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,topographic_position,slopes_lower bench_wave-cut,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,flowering_time,Sep-Oct,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,phytophthora_cinnamomi_susceptibility,susceptible_presumed,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Kunzea similis subsp. similis,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Lepidium aschersonii ,flower_colour,green,,,,,Fitzerald River National Park,,,
Lepidium aschersonii ,soil_type,heavy_black clay,,,,,Fitzerald River National Park,,,
Lepidium aschersonii ,habitat,swamp salt-marsh,,,,,Fitzerald River National Park,,,
Marianthus mollis ,plant_height,50,cm,maximum,,,Fitzerald River National Park,,,
Marianthus mollis ,stem_growth_habit,spreading,,,,,Fitzerald River National Park,,,
Marianthus mollis ,stem_colour,red_brown,,,stem age: young,,Fitzerald River National Park,,,
Marianthus mollis ,stem_colour,grey,,,stem age: mature,,Fitzerald River National Park,,,
Marianthus mollis ,stem_hairiness,hairs_white,,,stem age: young,,Fitzerald River National Park,,,
Marianthus mollis ,stem_hairiness,hairless,,,stem age: mature,,Fitzerald River National Park,,,
Marianthus mollis ,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Marianthus mollis ,flower_colour,blue,,,,,Fitzerald River National Park,,,
Marianthus mollis ,flower_stalk_length,1.5,cm,,,,Fitzerald River National Park,,,
Marianthus mollis ,flower_stalk_length,2.5,cm,,,,Fitzerald River National Park,,,
Marianthus mollis ,extent_of_occurrence,30,ha,raw,,,Fitzerald River National Park,,,
Marianthus mollis ,area_of_occupancy,12,ha,raw,,,Fitzerald River National Park,,,
Marianthus mollis ,population_count,6,'{count}',raw,,,Fitzerald River National Park,,,
Marianthus mollis ,individual_count,50000,'{count}',mean,,,Fitzerald River National Park,,,
Marianthus mollis ,soil_type,gravely_sands,,,,,Fitzerald River National Park,,,
Marianthus mollis ,geology,laterite ironstone,,,,,Fitzerald River National Park,,,
Marianthus mollis ,habitat,mallee_heath,,,,,Fitzerald River National Park,,,
Marianthus mollis ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Marianthus mollis ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Marianthus mollis ,reproductive_maturity,3,a,maximum,,,Fitzerald River National Park,,,
Marianthus mollis ,dispersers,animals,,,,,Fitzerald River National Park,,,
Marianthus mollis ,disturbance_,disturbance_opportunist,,,,,Fitzerald River National Park,,,
Marianthus mollis ,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Marianthus mollis ,pollination_syndrome,insect self,,,,,Fitzerald River National Park,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Myoporum cordifolium ,,,,,,,,,,
Ricinocarpos trichophorus ,,,,,,,,,,
Stylidium galioides ,,,,,,,,,,
Thelymitra psammophila ,,,,,,,,,,
Verticordia crebra ,,,,,,,,,,
Verticordia helichrysantha ,,,,,,,,,,
Verticordia pityrhops,,,,,,,,,,

